country,trucks_and_trailers,trucks_and_trailers_non_built_up
Åland (Finland),,
Albania,70.0,80.0
Argentina,80.0,80.0
Armenia,90.0,90.0
Aruba,,
Andorra,,
Australia,100.0,110.0
Austria,100.0,100.0
Azerbaijan,,
Azores,,80.0
Bahamas,,
Bahrain,,
Belarus,70.0,90.0
Belgium,70.0,90.0
Belgium: Wallonia Brussels,90.0,90.0
Belize,,
Benin,,
Bhutan,,
Bosnia and Herzegovina,80.0,
Brazil,90.0,90.0
Brunei,80.0,80.0
Bulgaria,70.0,100.0
Cambodia,80.0,100.0
Cameroon,,
Canada,120.0,130.0
People's Republic of China,80.0,100.0
Chile,100.0,100.0
Christmas Island,,90.0
Colombia,60.0,90.0
Costa Rica,60.0,60.0
Côte d'Ivoire,90.0,
Croatia,80.0,80.0
Cuba,,
Curaçao,,
Cyprus,80.0,100.0
Czech Republic,80.0,80.0
Denmark,80.0,80.0
Dominican Republic,,
Ecuador,70.0,90.0
Egypt,,
El Salvador,,
Estonia,90.0,90.0
Ethiopia,,
Faroe Islands (Denmark),,
Fiji,,
Finland,80.0,80.0
France,110.0,130.0
Georgia,60.0,80.0
Germany,80.0,80.0
Gibraltar (UK),,
Greece,80.0,80.0
Greenland (Denmark),,
Guernsey,,56.0
Guyana,,
Haiti,,
Honduras,,
Hong Kong,70.0,70.0
Hungary,70.0,80.0
Iceland,80.0,80.0
India,65.0,50.0
Indonesia,80.0,80.0
Iran,110.0,110.0
Iraq,90.0,120.0
Ireland,90.0,100.0
Isle of Man,,
Israel,80.0,90.0
Italy,70.0,80.0
Jamaica,,
Japan,80.0,80.0
Jersey,,64.0
Kazakhstan,,
Kiribati,30.0,30.0
Kosovo,,
Kuwait,100.0,120.0
Kyrgyzstan,70.0,90.0
Laos,90.0,100.0
Latvia,80.0,90.0
Lebanon,,
Liberia,,
Liechtenstein,80.0,
Lithuania,90.0,90.0
Luxembourg,90.0,90.0
Libya,,
Macau,,
North Macedonia,100.0,
Malawi,,80.0
Malaysia,70.0,90.0
Mali,,
Malta,60.0,
Mauritius,,
Moldova,70.0,
Morocco,,100.0
Monaco,,
Mongolia,,
Montenegro,,
Mexico,95.0,
Namibia,,
Micronesia,,
Nepal,,110.0
Netherlands,,
New Caledonia,,
New Zealand,90.0,90.0
Niue,,
Nicaragua,,
Nigeria,,
Norfolk Island,,50.0
North Korea,,
Norway,80.0,80.0
Oman,80.0,
Palestine,60.0,60.0
Panama,,100.0
Papua New Guinea,,
Pakistan,80.0,110.0
Peru,90.0,100.0
Philippines,80.0,60.0
Poland,70.0,80.0
Portugal,80.0,100.0
Qatar,,
Romania,90.0,90.0
Russia,90.0,90.0
Samoa,,
San Marino,,
Serbia,70.0,80.0
Singapore,60.0,60.0
Slovakia,90.0,90.0
Slovenia,80.0,80.0
Saudi Arabia,60.0,100.0
Somalia,80.0,100.0
South Africa,60.0,80.0
South Korea (Republic of Korea),60.0,80.0
Spain,80.0,90.0
Sri Lanka,40.0,70.0
Sudan,,
Suriname,,80.0
Sweden,90.0,80.0
Switzerland,80.0,80.0
Taiwan (Republic of China),80.0,90.0
Tanzania,100.0,
Thailand,80.0,100.0
Trinidad and Tobago,50.0,65.0
Tunisia,,
Turkey,80.0,90.0
Turkmenistan,,
Uganda,,
Ukraine,90.0,80.0
United Arab Emirates,80.0,80.0
United Kingdom,97.0,113.0
United States,,129.0
Uruguay,,
Uzbekistan,70.0,90.0
Vanuatu,,
Vatican,,
Venezuela,60.0,120.0
Vietnam,70.0,70.0
Yemen,,
Zambia,75.0,70.0
Zimbabwe,80.0,80.0
