unit,carriage,c_unload,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 
MIO_TKM,HIRE,AT,DE	2050 	2000 	1896 	2076 	2033 	2057 	2250 	2055 	2393 	2536 	2345 	2854 	3473 	3001 	2967 	3404 	3057 	2502 	2750 	2448 	2048 	2028 	1802 	1465 	1050 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,HIRE,AT,DK	47 	13 	16 	23 	11 	: 	5 	5 	13 	8 	20 	56 	36 	39 	39 	85 	170 	97 	92 	102 	154 	110 	90 	103 	101 	99 	46 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,HIRE,AT,EE	11 	47 	41 	9 	5 	53 	39 	: 	37 	33 	4 	10 	26 	27 	18 	57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,EL	282 	89 	138 	61 	38 	14 	55 	37 	18 	31 	25 	69 	36 	10 	17 	9 	23 	: 	: 	: 	: 	10 	6 	41 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,HIRE,AT,ES	459 	258 	385 	316 	213 	285 	202 	330 	318 	234 	340 	507 	297 	412 	294 	243 	294 	432 	278 	207 	208 	311 	257 	305 	197 	0 	0 	0 	0 	0 	: 	0 	0 	0 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	576 	643 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,FI	: 	: 	: 	: 	17 	10 	24 	: 	: 	27 	16 	: 	2 	21 	2 	19 	19 	8 	34 	14 	25 	0 	32 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,FR	28 	26 	6 	15 	21 	30 	23 	17 	46 	28 	21 	38 	37 	82 	79 	95 	117 	114 	150 	193 	214 	248 	196 	227 	216 	154 	128 	207 	158 	98 	82 	68 	103 	66 	16 	21 	51 	0 
MIO_TKM,HIRE,AT,HR	172 	221 	184 	180 	225 	172 	133 	136 	125 	106 	90 	123 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,HU	694 	660 	696 	561 	561 	617 	612 	591 	573 	436 	431 	408 	447 	382 	265 	156 	155 	132 	161 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,IE	: 	: 	: 	7 	4 	: 	: 	9 	7 	6 	: 	2 	4 	9 	7 	17 	6 	40 	13 	10 	4 	: 	: 	: 	: 	: 	: 	0 	3 	5 	7 	: 	16 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,IT	294 	213 	121 	183 	272 	302 	357 	218 	326 	428 	306 	424 	399 	405 	431 	442 	328 	378 	402 	460 	354 	: 	329 	301 	250 	268 	249 	259 	187 	8 	534 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,LI	: 	: 	: 	: 	: 	: 	1 	1 	0 	1 	1 	2 	2 	3 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,LT	105 	90 	98 	45 	83 	112 	111 	108 	78 	73 	48 	92 	62 	29 	30 	46 	33 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,LU	5 	4 	10 	4 	5 	3 	11 	13 	7 	12 	13 	17 	10 	12 	9 	11 	16 	15 	26 	20 	23 	: 	1 	1 	0 	7 	7 	38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,LV	43 	35 	37 	77 	133 	75 	55 	11 	30 	15 	56 	54 	43 	45 	49 	62 	33 	47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,NL	99 	124 	93 	131 	144 	101 	247 	109 	201 	112 	196 	217 	207 	296 	393 	377 	366 	343 	336 	362 	398 	520 	539 	532 	0 	0 	0 	0 	0 	361 	313 	255 	222 	183 	0 	143 	0 	0 
MIO_TKM,HIRE,AT,NO	: 	: 	: 	: 	: 	2 	1 	: 	14 	3 	14 	75 	9 	14 	21 	23 	31 	14 	17 	34 	22 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,PL	1203 	1354 	1458 	945 	795 	789 	997 	644 	823 	914 	593 	636 	533 	431 	349 	208 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,PT	59 	138 	38 	69 	48 	163 	201 	255 	35 	65 	65 	107 	: 	135 	158 	39 	37 	34 	63 	71 	53 	174 	56 	38 	: 	16 	42 	: 	75 	30 	24 	9 	18 	0 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,RO	404 	374 	273 	388 	309 	257 	255 	172 	162 	173 	185 	266 	364 	329 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,SE	: 	4 	5 	14 	28 	11 	15 	32 	11 	6 	19 	8 	37 	20 	4 	20 	7 	3 	17 	14 	15 	22 	13 	34 	38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,SI	477 	614 	589 	466 	348 	386 	314 	267 	313 	296 	158 	211 	179 	159 	138 	129 	86 	83 	98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,SK	701 	715 	639 	482 	627 	348 	419 	484 	422 	475 	422 	285 	279 	161 	191 	196 	195 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,UK	14 	12 	16 	3 	9 	8 	9 	11 	14 	7 	3 	12 	13 	21 	13 	23 	48 	42 	40 	108 	137 	207 	269 	187 	170 	153 	104 	139 	123 	79 	76 	41 	0 	0 	43 	35 	43 	38 
MIO_TKM,HIRE,AZ,BG	3 	: 	: 	: 	37 	: 	: 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AZ,CZ	: 	: 	: 	: 	: 	10 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AZ,LV	: 	: 	: 	: 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AZ,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	1 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AZ,RO	: 	: 	: 	: 	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AZ,SI	: 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,AT	: 	: 	1 	: 	1 	: 	: 	2 	1 	0 	2 	3 	: 	4 	1 	2 	1 	1 	3 	0 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,BG	12 	7 	: 	12 	17 	: 	: 	25 	: 	: 	: 	: 	: 	12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,CZ	1 	31 	: 	: 	: 	9 	: 	: 	9 	14 	13 	14 	9 	: 	13 	25 	16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,DE	: 	: 	: 	: 	: 	: 	7 	: 	: 	8 	4 	: 	28 	4 	7 	0 	6 	6 	: 	1 	: 	1 	25 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9 	: 	10 	: 	9 	14 	: 	9 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	1 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,ES	45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20 	: 	28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,HR	32 	28 	25 	56 	52 	47 	41 	41 	45 	68 	72 	74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,HU	13 	1 	8 	9 	9 	10 	4 	10 	1 	3 	9 	12 	6 	4 	8 	8 	: 	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	68 	: 	24 	: 	22 	: 	28 	25 	6 	40 	26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,LV	: 	: 	: 	: 	15 	: 	: 	: 	: 	: 	: 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,NL	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	8 	: 	2 	5 	3 	8 	6 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15 	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,PL	17 	: 	: 	6 	74 	: 	10 	: 	40 	3 	15 	: 	5 	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
