unit,carriage,c_load,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 
MIO_TKM,HIRE,PT,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 	3 	1 	6 	2 	1 	2 	4 	4 	0 	0 	0 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,BE	: 	0 	2 	: 	12 	2 	26 	13 	2 	16 	7 	6 	8 	4 	13 	23 	20 	14 	6 	27 	23 	42 	14 	15 	23 	32 	34 	29 	34 	12 	58 	19 	35 	17 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,BG	: 	6 	: 	: 	: 	32 	: 	: 	: 	: 	: 	: 	: 	60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,CH	15 	: 	: 	: 	: 	: 	: 	: 	113 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,CZ	1 	: 	73 	50 	39 	: 	130 	17 	48 	105 	32 	49 	44 	19 	81 	16 	: 	18 	27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,DE	16 	7 	8 	30 	16 	12 	11 	25 	77 	48 	20 	88 	118 	65 	60 	50 	41 	52 	118 	173 	53 	396 	116 	80 	159 	160 	80 	83 	75 	72 	86 	89 	79 	68 	0 	0 	0 	0 
MIO_TKM,HIRE,PT,DK	: 	: 	: 	: 	: 	: 	: 	: 	7 	4 	: 	: 	: 	10 	12 	25 	14 	9 	12 	11 	22 	7 	40 	51 	106 	119 	76 	34 	47 	40 	30 	28 	20 	14 	12 	0 	0 	0 
MIO_TKM,HIRE,PT,EL	125 	47 	89 	11 	9 	20 	37 	: 	: 	: 	: 	: 	10 	24 	9 	36 	51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,ES	2288 	2384 	1925 	2042 	1961 	2239 	1830 	1807 	1982 	2139 	1893 	1857 	2098 	1742 	1529 	1607 	1334 	1263 	1007 	995 	855 	1147 	865 	909 	804 	1067 	699 	482 	356 	286 	330 	396 	236 	229 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1779 	: 	: 	1507 	1306 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9 	13 	8 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,FR	: 	9 	45 	0 	13 	52 	17 	52 	98 	53 	57 	29 	112 	97 	81 	58 	81 	35 	65 	79 	251 	268 	324 	383 	392 	436 	347 	382 	476 	312 	299 	225 	213 	120 	175 	132 	111 	0 
MIO_TKM,HIRE,PT,HU	11 	12 	11 	11 	10 	22 	20 	2 	35 	49 	33 	15 	52 	18 	13 	25 	19 	2 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,IE	: 	: 	: 	: 	: 	: 	: 	7 	11 	: 	4 	16 	: 	: 	26 	18 	: 	42 	5 	7 	3 	: 	: 	: 	: 	: 	3 	: 	9 	6 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,IT	32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47 	: 	12 	22 	75 	12 	40 	40 	39 	40 	: 	20 	30 	0 	82 	79 	84 	172 	: 	67 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,LT	90 	13 	28 	: 	23 	221 	61 	18 	: 	: 	10 	: 	: 	: 	8 	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,LU	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	6 	: 	: 	0 	0 	7 	26 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,LV	6 	51 	: 	: 	17 	: 	30 	: 	: 	: 	: 	: 	: 	: 	12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,NL	11 	13 	: 	: 	: 	: 	2 	9 	10 	12 	13 	6 	17 	26 	4 	5 	31 	10 	29 	28 	57 	47 	49 	64 	55 	60 	68 	93 	84 	72 	64 	71 	66 	56 	0 	32 	0 	0 
MIO_TKM,HIRE,PT,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	18 	8 	12 	5 	10 	7 	: 	: 	4 	4 	2 	13 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,PL	101 	315 	81 	262 	57 	97 	170 	36 	180 	273 	169 	154 	150 	48 	: 	68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,RO	18 	41 	22 	17 	12 	3 	69 	23 	44 	24 	15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	2 	2 	: 	3 	10 	: 	: 	25 	3 	2 	2 	5 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,SI	9 	15 	11 	: 	: 	11 	: 	: 	16 	: 	15 	14 	: 	25 	7 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,SK	: 	44 	43 	45 	12 	27 	: 	10 	: 	: 	15 	34 	17 	: 	: 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,PT,UK	8 	9 	11 	10 	11 	12 	4 	15 	6 	24 	13 	16 	14 	10 	15 	51 	62 	33 	41 	89 	80 	114 	141 	162 	121 	125 	95 	113 	111 	95 	82 	55 	59 	8 	6 	2 	8 	19 
MIO_TKM,HIRE,RO,AT	5 	4 	9 	: 	4 	: 	4 	8 	4 	4 	: 	5 	14 	17 	15 	14 	13 	13 	16 	18 	14 	2 	1 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,BE	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,BG	227 	157 	434 	257 	129 	321 	378 	189 	138 	185 	272 	58 	56 	66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,CY	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,CZ	19 	135 	94 	45 	82 	34 	22 	68 	106 	43 	31 	92 	93 	125 	82 	69 	90 	137 	10 	50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,DE	26 	7 	11 	8 	30 	14 	15 	31 	36 	12 	28 	33 	68 	17 	19 	31 	10 	57 	4 	55 	27 	57 	46 	52 	54 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6 	: 	9 	37 	13 	18 	16 	2 	15 	1 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,EE	: 	: 	: 	: 	: 	12 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,EL	186 	202 	79 	6 	6 	30 	31 	: 	2 	13 	10 	24 	27 	17 	9 	11 	5 	: 	: 	: 	: 	: 	12 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,ES	: 	: 	32 	: 	: 	: 	22 	: 	54 	63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 	0 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	209 	: 	: 	75 	83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,FR	: 	: 	: 	: 	: 	7 	: 	: 	: 	: 	7 	: 	: 	: 	: 	9 	6 	4 	13 	9 	12 	75 	0 	10 	40 	70 	26 	24 	2 	4 	10 	6 	3 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,HR	5 	29 	27 	49 	24 	8 	9 	19 	15 	16 	9 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,HU	134 	138 	145 	173 	219 	233 	213 	320 	263 	197 	221 	143 	192 	151 	104 	65 	49 	25 	25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,IE	: 	: 	: 	: 	: 	: 	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,IT	: 	8 	6 	16 	9 	7 	10 	: 	17 	35 	74 	114 	56 	232 	166 	248 	118 	104 	207 	138 	184 	: 	125 	118 	0 	10 	10 	11 	: 	33 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,LT	: 	13 	4 	: 	2 	10 	16 	23 	: 	: 	13 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,LV	: 	: 	: 	15 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,NL	: 	9 	2 	7 	: 	1 	10 	3 	7 	8 	20 	7 	2 	21 	45 	11 	23 	26 	34 	50 	70 	0 	0 	0 	0 	0 	0 	0 	0 	44 	50 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14 	: 	: 	: 	: 	1 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,PL	516 	823 	619 	408 	356 	374 	341 	503 	142 	352 	215 	210 	228 	149 	90 	117 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,PT	: 	3 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,SE	: 	: 	: 	: 	: 	: 	: 	2 	6 	: 	33 	25 	17 	0 	15 	1 	: 	: 	7 	15 	4 	2 	2 	3 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,SI	9 	3 	: 	6 	8 	: 	22 	9 	34 	26 	41 	40 	27 	31 	62 	24 	7 	6 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,SK	26 	45 	36 	73 	32 	30 	56 	23 	62 	23 	13 	33 	49 	29 	67 	37 	34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RO,UK	1 	: 	31 	: 	: 	2 	: 	4 	0 	: 	14 	: 	: 	4 	: 	5 	12 	9 	22 	45 	30 	56 	33 	23 	39 	39 	39 	48 	41 	33 	26 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS,AT	: 	: 	1 	: 	1 	6 	: 	0 	: 	: 	: 	10 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS,BG	19 	65 	90 	75 	80 	66 	10 	12 	22 	47 	25 	10 	32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS,CZ	: 	: 	: 	: 	4 	4 	1 	: 	2 	7 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS,DE	: 	: 	: 	4 	3 	: 	: 	2 	6 	: 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS,EL	18 	: 	18 	: 	2 	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS,ES	: 	: 	: 	: 	: 	: 	18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS,HR	29 	36 	35 	59 	29 	23 	32 	63 	55 	47 	41 	19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS,HU	7 	11 	12 	18 	25 	6 	13 	5 	16 	8 	10 	1 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS,IT	: 	: 	20 	19 	: 	20 	: 	12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS,LV	: 	: 	: 	: 	: 	21 	: 	: 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS,NL	: 	: 	: 	: 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS,PL	: 	38 	50 	77 	23 	7 	22 	1 	7 	1 	58 	1 	19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS,RO	2 	4 	5 	5 	2 	4 	1 	4 	12 	22 	9 	26 	21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS,SI	25 	31 	37 	36 	53 	45 	32 	35 	42 	50 	41 	31 	56 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS,SK	: 	15 	6 	4 	: 	2 	: 	: 	: 	: 	: 	16 	26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 	1 	1 	1 	1 	0 	0 	1 	1 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35 	5 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	1 	: 	1 	16 	: 	3 	6 	5 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	3 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9 	14 	: 	: 	: 	: 	: 	3 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7 	1 	7 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9 	6 	6 	1 	10 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8 	: 	: 	14 	45 	5 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	2 	3 	2 	2 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	8 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 	: 	: 	: 	11 	: 	: 	1 	2 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	32 	48 	32 	20 	31 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RS_ME,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RU,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 	1 	0 	4 	0 	3 	1 	1 	1 	1 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RU,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RU,BG	: 	68 	: 	43 	: 	155 	59 	157 	66 	57 	118 	: 	95 	27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RU,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RU,CZ	132 	262 	114 	225 	281 	210 	204 	189 	201 	75 	57 	96 	128 	183 	156 	74 	269 	80 	237 	64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RU,DE	: 	: 	3 	: 	: 	16 	21 	: 	: 	9 	1 	2 	0 	50 	: 	21 	62 	1 	12 	3 	: 	36 	3 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RU,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11 	: 	1 	: 	4 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RU,EE	144 	163 	207 	297 	265 	303 	208 	196 	252 	207 	136 	221 	236 	177 	206 	207 	70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,RU,EL	214 	82 	45 	: 	: 	130 	16 	: 	: 	: 	: 	9 	: 	: 	: 	: 	11 	: 	: 	: 	: 	: 	5 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
