,unit,carriage,destination,origin,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
2019,MIO_TKM,OWN,EXT_EU15,FR,,,,,,,,20.0,54.0,47.0
2020,MIO_TKM,OWN,EXT_EU15,HR,,,,,,,,56.0,72.0,71.0
2021,MIO_TKM,OWN,EXT_EU15,HU,,,,,,,,130.0,119.0,124.0
2022,MIO_TKM,OWN,EXT_EU15,IE,,,,,,,,7.0,14.0,
2023,MIO_TKM,OWN,EXT_EU15,IT,,,,,,,,62.0,65.0,65.0
2024,MIO_TKM,OWN,EXT_EU15,LI,,,,,,,,,,
2025,MIO_TKM,OWN,EXT_EU15,LT,,,,,,,,117.0,103.0,84.0
2026,MIO_TKM,OWN,EXT_EU15,LU,,,,,,,,2.0,3.0,1.0
2027,MIO_TKM,OWN,EXT_EU15,LV,,,,,,,,103.0,111.0,54.0
2028,MIO_TKM,OWN,EXT_EU15,NL,,,,,,,,97.0,107.0,64.0
2029,MIO_TKM,OWN,EXT_EU15,NO,,,,,,,,,13.0,
2030,MIO_TKM,OWN,EXT_EU15,PL,,,,,,,,752.0,755.0,760.0
2031,MIO_TKM,OWN,EXT_EU15,PT,,,,,,,,23.0,50.0,13.0
2032,MIO_TKM,OWN,EXT_EU15,RO,,,,,,,,211.0,197.0,130.0
2033,MIO_TKM,OWN,EXT_EU15,SE,,,,,,,,68.0,52.0,17.0
2034,MIO_TKM,OWN,EXT_EU15,SI,,,,,,,,61.0,50.0,38.0
2035,MIO_TKM,OWN,EXT_EU15,SK,,,,,,,,96.0,75.0,80.0
2036,MIO_TKM,OWN,EXT_EU15,UK,,,,,,,,,0.0,
2037,MIO_TKM,OWN,EX_DD,BE,,,,,,,,,,
2038,MIO_TKM,OWN,EX_DD,DK,,,,,,,,,,
2039,MIO_TKM,OWN,EX_DD,NL,,,,,,,,,,
2040,MIO_TKM,OWN,EX_DD,UK,,,,,,,,,,
2041,MIO_TKM,OWN,EX_SU,DE,,,,,,,,,,
2042,MIO_TKM,OWN,EX_SU,EU15,,,,,,,,,,
2043,MIO_TKM,OWN,EX_SU,FR,,,,,,,,,,
2044,MIO_TKM,OWN,EX_SU,IT,,,,,,,,,,
2045,MIO_TKM,OWN,EX_SU,LU,,,,,,,,,,
2046,MIO_TKM,OWN,EX_SU,NL,,,,,,,,,,
2047,MIO_TKM,OWN,EX_SU,UK,,,,,,,,,,
2048,MIO_TKM,OWN,EX_YU,BE,,,,,,,,,,
2049,MIO_TKM,OWN,EX_YU,DE,,,,,,,,,,
2050,MIO_TKM,OWN,EX_YU,DK,,,,,,,,,,
2051,MIO_TKM,OWN,EX_YU,EU15,,,,,,,,,,
2052,MIO_TKM,OWN,EX_YU,FR,,,,,,,,,,
2053,MIO_TKM,OWN,EX_YU,IT,,,,,,,,,,
2054,MIO_TKM,OWN,EX_YU,LU,,,,,,,,,,
2055,MIO_TKM,OWN,EX_YU,NL,,,,,,,,,,
2056,MIO_TKM,OWN,EX_YU,UK,,,,,,,,,,
2057,MIO_TKM,OWN,FI,AT,,,,,,,,,,
2058,MIO_TKM,OWN,FI,BE,,,,,,,,,2.0,
2059,MIO_TKM,OWN,FI,CZ,,,,,,,,,,
2060,MIO_TKM,OWN,FI,DE,,1.0,,,,,,,,
2061,MIO_TKM,OWN,FI,DK,,,,,,,,,,
2062,MIO_TKM,OWN,FI,EE,1.0,5.0,28.0,2.0,1.0,2.0,4.0,2.0,3.0,5.0
2063,MIO_TKM,OWN,FI,EU15,,,,,,,,,,
2064,MIO_TKM,OWN,FI,FR,,,,,,,,,,
2065,MIO_TKM,OWN,FI,HU,,,,,1.0,,,,,
2066,MIO_TKM,OWN,FI,IT,,,1.0,,,,,,,
2067,MIO_TKM,OWN,FI,LT,,,,4.0,,1.0,,,1.0,
2068,MIO_TKM,OWN,FI,LV,,,,,,3.0,,,,
2069,MIO_TKM,OWN,FI,NL,8.0,0.0,3.0,,,13.0,,,,
2070,MIO_TKM,OWN,FI,NO,,8.0,,,,1.0,14.0,4.0,,
2071,MIO_TKM,OWN,FI,PL,,20.0,21.0,14.0,,17.0,,1.0,7.0,12.0
2072,MIO_TKM,OWN,FI,RO,,,16.0,4.0,24.0,,,,,
2073,MIO_TKM,OWN,FI,SE,1.0,1.0,26.0,0.0,5.0,26.0,,15.0,16.0,8.0
2074,MIO_TKM,OWN,FI,UK,,,,,,,,1.0,,
