aid,view,danmaku,reply,favorite,coin,share,now_rank,his_rank,like
288,8683,97,102,264,13,5,0,0,3
289,4605,61,31,27,4,7,0,0,0
290,6713,73,54,43,4,6,0,0,1
292,38457,1204,63,744,16,22,0,0,8
293,6741,106,40,154,31,24,0,0,1
294,6997,321,37,100,20,7,0,0,0
297,4899,84,32,33,55,8,0,0,0
298,798,413,74,182,18,6,0,0,2
301,4153,36,84,50,8,8,0,0,5
302,84058,2943,397,1233,375,80,0,110,95
303,2926,23,37,31,2,4,0,0,1
304,18519,6,61,109,4,6,0,0,3
306,3849,17,47,39,3,7,0,0,3
307,10445,118,55,280,25,16,0,0,9
308,1464,114,41,62,3,5,0,0,3
309,3841,46,36,45,3,6,0,0,1
312,17339,629,95,232,24,30,0,0,5
314,4956545,261993,37556,169156,34819,8065,0,12,6812
316,44250,61,54,114,9,7,0,101,11
317,9085,19,55,30,10,3,0,0,2
318,9457,268,54,84,13,10,0,0,6
320,3806,38,37,50,2,4,0,0,3
321,1933,80,105,79,4,6,0,0,5
322,17364,757,184,418,27,19,0,0,6
323,3609,108,62,94,16,7,0,0,1
324,3726,34,43,34,12,4,0,0,2
326,567701,6598,1106,514,381,392,0,0,10
327,1490,12,45,19,2,2,0,0,2
329,5385,258,50,38,10,11,0,0,7
331,6639,120,121,143,24,9,0,0,10
332,2443,26,31,46,4,8,0,0,4
333,14483,78,87,160,50,16,0,0,20
334,18186,45,92,187,59,9,0,0,8
335,4329,51,42,54,4,12,0,0,5
336,5609,195,97,197,21,17,0,0,21
340,2322,53,30,22,3,7,0,0,4
341,102508,1282,262,1150,247,104,0,155,128
342,2369,87,29,74,7,5,0,0,3
343,2644,39,20,29,2,6,0,0,4
344,4797,141,46,96,13,5,0,0,2
345,11858,137,52,55,66,10,0,0,4
347,2316,17,16,22,2,5,0,0,1
348,12581,218,193,213,206,15,0,0,62
349,176446,909,4660,3556,796,130,0,5,86
350,79330,2722,439,2716,445,60,0,83,101
351,55159,1695,517,2642,554,90,0,0,77
352,35863,416,196,1508,224,30,0,219,61
354,9748,381,67,239,20,13,0,0,5
355,2416,8,26,36,2,6,0,0,2
356,38873,1047,253,1120,95,30,0,0,9
360,15663,62,279,90,9,2,0,0,27
361,3148,106,47,40,6,5,0,0,6
363,4393,271,34,82,5,11,0,0,4
364,2768,108,41,34,2,7,0,0,1
366,2496,63,51,17,2,3,0,0,1
367,5883,53,210,60,17,17,0,0,49
