aid,view,danmaku,reply,favorite,coin,share,now_rank,his_rank,like
1178,-1,1674,118,328,220,39,0,0,0
1179,2861,61,20,7,4,9,0,0,0
1182,1728,23,4,16,11,6,0,0,1
1183,10965,274,20,268,97,13,0,0,10
1184,7316,100,20,56,71,4,0,0,2
1189,589604,12713,739,1806,359,192,0,525,1
1190,1837,19,9,2,2,2,0,0,0
1191,2001,15,25,19,1,5,0,0,0
1194,896,5,4,17,2,2,0,0,0
1196,131659,10530,302,1137,149,117,0,500,9
1198,3900,144,31,20,1,11,0,0,1
1205,7002,361,50,31,11,6,0,0,0
1207,55341,2734,39,767,21,11,0,0,6
1212,21975,261,74,202,19,104,0,0,6
1215,9100,434,38,87,20,9,0,0,3
1218,2116,69,21,6,3,3,0,0,1
1219,77948,1745,106,141,43,20,0,0,6
1222,6187,0,39,11,4,7,0,0,1
1224,30497,3568,67,454,61,36,0,0,22
1230,4275,54,26,23,4,11,0,0,1
1231,8179,246,35,170,11,10,0,0,4
1237,1400,12,9,7,1,5,0,0,0
1238,2547,44,23,22,2,3,0,0,2
1239,4148,151,35,41,30,7,0,0,1
1240,3480,90,16,33,4,5,0,0,1
1242,7429,118,9,113,9,37,0,0,0
1243,5401,353,133,31,24,6,0,0,2
1244,3334,285,21,9,10,4,0,0,2
1245,4400,68,34,6,2,8,0,0,2
1250,3497,35,19,28,4,5,0,0,1
1251,3134,52,14,51,7,5,0,0,0
1252,8105,92,30,146,4,7,0,0,4
1254,1871,15,14,17,2,2,0,0,0
1255,1685,20,16,14,5,7,0,0,1
1263,38804,473,117,469,27,19,0,0,6
1265,4303,99,6,19,1,4,0,0,0
1267,-1,36384,15540,56438,8346,6307,0,177,936
1271,3711,176,29,24,11,7,0,0,0
1273,51301,71,259,883,64,7,0,495,5
1276,6772,85,13,56,2,5,0,0,0
1278,3730,0,11,6,3,5,0,0,0
1279,1370,25,13,3,1,6,0,0,2
1280,3805,54,13,47,3,7,0,0,1
1281,5272,147,27,172,9,4,0,0,7
1282,8329,165,66,91,11,18,0,0,5
1284,1284,46,7,15,4,4,0,0,0
1285,1705,18,4,8,2,5,0,0,1
1286,2198,49,6,16,3,6,0,0,0
1288,3697,276,16,11,2,8,0,0,0
1289,16021,351,62,166,13,6,0,260,1
1291,1780,58,12,2,2,4,0,0,0
1292,9502,222,22,65,12,14,0,0,0
1297,2444,73,26,57,5,7,0,0,1
1299,131394,3758,1563,488,324,41,0,0,33
1300,4264,103,22,25,3,6,0,0,1
1302,1388,6,9,10,11,4,0,0,1
1303,20369,399,144,131,65,28,0,546,16
1304,1201,11,5,3,2,3,0,0,0
1305,75034,2739,108,1413,60,20,0,0,11
1306,13403,173,38,252,23,28,0,0,6
1307,25485,886,120,366,18,11,0,0,1
1311,487155,8589,709,2010,652,344,0,399,3
1315,2319,40,43,139,4,5,0,0,2
1318,613,6,4,4,1,2,0,0,0
1319,5407,1,8,22,3,4,0,0,0
1320,1833,41,14,12,5,5,0,0,2
1322,3742,2,29,30,1,6,0,0,0
1323,798,0,2,1,1,2,0,0,1
1325,1380,1,10,7,4,5,0,0,0
1327,418,0,2,0,0,7,0,0,0
1328,2057,2,5,13,1,3,0,0,1
1329,505,2,3,4,1,4,0,0,0
1331,1056,0,4,10,2,6,0,0,1
1332,2415,1,8,4,3,7,0,0,2
1333,1049,2,6,7,1,3,0,0,1
1334,1100,0,8,6,1,6,0,0,1
1335,2099,5,7,18,6,5,0,0,0
1337,9618,12,41,103,3,18,0,0,1
1338,2521,0,5,1,3,3,0,0,2
1340,24530,165,157,542,113,32,0,0,14
1341,551,2,3,2,1,5,0,0,0
1342,634,3,5,2,2,3,0,0,0
1343,1610,34,11,25,1,7,0,0,3
1346,630,23,7,5,3,5,0,0,1
1348,1588,11,13,38,3,4,0,0,2
1349,3726,211,6,14,3,8,0,0,0
1350,6143,130,23,63,2,5,0,0,0
1352,1676,88,25,7,1,4,0,0,0
1354,3626,92,16,2,1,5,0,0,2
1355,2220,67,14,10,1,6,0,0,1
1356,5844,165,51,402,40,44,0,0,27
1359,6770,164,13,120,21,11,0,0,2
1360,7227,165,9,31,5,12,0,0,0
1361,3879,7,20,43,4,5,0,0,0
1364,1949,36,3,22,0,4,0,0,0
1366,10292,318,41,151,14,13,0,0,2
1367,1180,8,7,15,2,10,0,0,0
1368,2302,134,27,18,1,6,0,0,0
1369,883,14,9,9,0,6,0,0,2
1370,14985,282,26,271,21,19,0,0,2
1371,18140,439,44,84,15,7,0,161,2
1372,33792,2891,31,506,12,14,0,0,0
1373,1156,77,6,6,0,5,0,0,1
1375,2546,70,17,72,16,5,0,0,4
1378,1471,23,13,8,1,5,0,0,0
1381,15030,7,47,23,4,5,0,0,0
1387,1795,62,5,10,1,4,0,0,0
1388,28533,912,183,883,154,70,0,919,36
1389,262556,8838,105,203,133,11,0,0,3
1390,219214,6933,119,188,132,13,0,0,0
1391,1083,30,8,15,1,5,0,0,0
1392,16508,148,22,23,1,7,0,0,1
1393,2109,23,18,9,6,3,0,0,1
1394,12527,200,67,451,40,30,0,955,8
1395,3005,131,16,26,7,6,0,0,3
1396,15695,155,21,309,16,47,0,0,4
1397,1545,29,13,9,2,6,0,0,0
1400,10327,174,71,42,12,3,0,0,6
1402,13942,123,16,129,16,26,0,0,3
1404,2043,122,14,9,1,1,0,0,0
1405,1144,1,7,4,2,6,0,0,0
1407,4487,1,18,33,33,10,0,0,0
1408,19741,6,25,15,5,5,0,0,0
1411,5535,3,38,78,7,7,0,0,0
1412,5107,1,28,14,4,6,0,0,2
1413,7784,266,214,522,114,16,0,0,0
1414,2456,5,26,8,1,4,0,0,0
1417,2362,19,9,19,4,5,0,0,5
1419,1822,57,16,16,3,1,0,0,0
1420,1301,15,5,16,3,5,0,0,0
1421,1782,2,6,12,3,6,0,0,0
1422,3993,214,25,17,6,7,0,0,0
1423,5010,817,23,178,19,11,0,0,2
1424,1245,12,10,4,3,3,0,0,0
1425,1929,30,23,12,2,4,0,0,0
1427,3770,68,17,28,2,8,0,0,3
1428,2870,65,25,21,2,5,0,0,1
1431,3328,89,12,8,2,4,0,0,0
1435,34554,256,17,47,15,4,0,0,1
1436,3804,329,26,43,7,6,0,0,1
1444,1392,133,50,29,6,4,0,0,3
1446,3853,161,58,39,16,8,0,0,11
1447,1522,33,4,8,1,7,0,0,0
1448,7618,81,24,13,3,10,0,0,2
1449,29837,533,61,353,19,6,0,991,2
1450,1612,17,7,3,1,8,0,0,0
1451,3783,125,6,45,6,7,0,0,1
1452,1065,8,27,5,2,3,0,0,2
1454,3425,31,31,6,1,4,0,0,0
1456,1643,1,8,2,1,5,0,0,0
1458,3591,73,24,118,19,12,0,0,4
1460,1012,7,6,5,2,10,0,0,1
1461,4624,400,12,19,1,6,0,0,1
1462,926,63,10,8,1,5,0,0,0
1463,1456,7,8,1,5,4,0,0,0
1464,43034,442,19,86,22,4,0,0,1
1465,901,3,7,2,6,5,0,0,0
1466,3341,46,36,37,12,4,0,0,2
1468,1540,60,16,2,1,7,0,0,0
1471,2406,78,10,7,5,4,0,0,0
1473,1741,30,10,16,1,12,0,0,0
1475,7771,210,26,22,4,2,0,0,0
1476,1502,94,19,7,3,3,0,0,0
1477,5553,80,37,47,2,5,0,0,1
1478,83231,5,137,582,46,82,0,760,5
1479,-1,49,18,8,1,4,0,0,0
1480,1701,3,3,9,1,4,0,0,0
1481,1756,78,3,2,1,3,0,0,0
1482,2696,48,10,4,1,3,0,0,0
1484,1181,59,6,0,1,2,0,0,1
1485,2794,60,27,78,11,5,0,0,1
1486,1260,50,8,2,2,6,0,0,0
1487,5205,85,11,30,4,7,0,0,0
1488,2076,12,5,2,8,4,0,0,0
1489,1188,45,13,2,2,5,0,0,0
1490,2136,76,11,4,2,5,0,0,0
1491,6907,204,38,134,9,2,0,0,1
1492,7586,26,45,127,14,5,0,0,2
1494,1207,108,8,4,1,4,0,0,0
1495,1296,17,13,12,2,4,0,0,0
1496,1267,62,9,37,3,5,0,0,4
1500,2791,32,15,6,3,3,0,0,0
1501,53111,2163,56,1158,32,22,0,0,6
1502,1892,1,5,10,3,8,0,0,2
1503,11156,1367,54,47,8,10,0,0,5
1504,7762,721,136,28,6,4,0,0,4
1506,9449,189,80,180,55,9,0,0,1
1507,1940,106,20,1,1,0,0,0,0
1509,1224,228,6,13,2,4,0,0,0
1512,7155,22,8,15,131,5,0,0,0
1513,29521,1432,9,700,13,12,0,0,1
1514,4566,30,15,32,5,8,0,0,0
1515,1611,74,21,50,3,4,0,0,3
1517,12456,100,20,107,8,5,0,0,1
1519,1028,71,7,14,5,8,0,0,2
1521,736,23,4,5,1,2,0,0,2
1524,1820,25,6,10,14,5,0,0,0
1525,778,11,2,1,1,5,0,0,0
1526,66549,1667,105,510,20,37,0,362,0
1527,-1,151,86,209,31,26,0,0,3
1528,3359,46,7,27,4,14,0,0,0
1529,1061,41,10,31,8,6,0,0,4
1531,966,5,4,20,6,8,0,0,0
1532,14192,882,31,90,4,6,0,0,0
1533,77144,1547,108,361,68,48,0,53,4
1534,4975,165,17,192,13,9,0,0,3
1535,1506,34,13,7,4,2,0,0,0
1536,4544,342,14,36,16,7,0,0,0
1537,4906,355,21,40,1,4,0,0,0
1539,4982,10,2,5,104,4,0,0,0
1543,678,61,5,5,1,7,0,0,1
1544,2246,113,12,6,1,7,0,0,0
1545,859,11,10,14,1,3,0,0,2
1546,1259,71,6,13,3,4,0,0,2
1547,3836,58,10,20,168,3,0,0,0
1548,170334,839,259,2321,231,217,0,201,139
1549,5536,811,12,9,10,7,0,0,0
1550,2499,48,17,31,6,3,0,0,2
1551,6814,76,43,25,132,6,0,0,2
1552,14262,789,63,228,339,22,0,632,4
1554,9271,575,30,36,16,9,0,0,1
1555,3432,27,6,26,88,4,0,0,3
1557,5311,191,10,23,4,4,0,0,0
1559,13832,74,17,5,281,2,0,0,1
1564,169723,6842,685,3672,152,73,0,221,91
1565,19486,388,55,77,17,40,0,0,2
1566,3072,63,9,19,7,3,0,0,0
1567,18430,1025,10,472,12,8,0,0,2
1569,4145,1137,13,2,1,5,0,0,0
1571,4517,119,47,209,27,13,0,0,10
1572,1031,42,5,13,2,8,0,0,3
1573,3149,2,25,9,55,4,0,0,3
1574,13753,167,49,39,151,5,0,837,1
1575,3227,11,4,7,16,1,0,0,0
1576,57300,1991,57,397,21,82,0,636,13
1577,2783,32,12,16,46,6,0,0,0
1578,-1,257,22,14,1,4,0,0,1
1579,421084,7562,739,4546,309,388,0,26,46
1580,9107,230,39,85,6,5,0,0,1
1581,53877,1188,245,1300,60,20,0,0,3
1583,4228,100,22,75,3,7,0,0,0
1584,9930,262,34,67,6,3,0,0,0
1586,23041,811,9,477,190,5,0,0,0
1587,12169,27,20,20,686,7,0,0,0
1589,1113,7,8,3,1,1,0,0,0
1591,-1,677,51,114,2,9,0,0,1
1597,1047,7,7,6,4,4,0,0,0
1600,3353,72,7,25,33,3,0,0,1
1601,8305,316,74,39,5,15,0,0,6
1603,17118,605,136,343,43,6,0,0,1
1605,-1,578,305,1242,191,74,0,0,48
1608,3365,648,32,63,8,8,0,0,1
1610,-1,1212,197,380,53,63,0,781,10
1611,704,9,16,15,1,3,0,0,0
1612,324126,10704,2512,5417,1650,283,0,975,106
1613,975,10,5,1,3,6,0,0,1
1615,932,86,7,1,1,2,0,0,0
1616,-1,68,15,5,1,4,0,0,1
1617,76277,1469,231,3033,991,122,0,84,80
1618,4112,120,13,25,3,6,0,0,0
1619,5745,360,51,156,8,5,0,0,2
1621,-1,120,28,36,18,7,0,0,0
1623,945,3,7,25,4,3,0,0,1
1624,5321,67,15,11,48,5,0,0,0
1627,-1,46,18,52,0,5,0,0,0
1628,715,1,4,5,1,1,0,0,0
1629,4246,104,23,42,2,2,0,0,0
1630,1490,114,10,4,7,4,0,0,1
1631,2628,99,3,5,4,1,0,0,0
1632,31842,517,13,63,21,8,0,0,5
1634,687,4,8,5,2,1,0,0,0
1639,126544,2882,298,425,58,19,0,786,1
1641,155424,6953,93,143,109,20,0,0,1
1644,3618,9,53,62,7,5,0,0,1
1646,1617,1,16,19,1,5,0,0,2
1648,4671,4,16,77,10,3,0,0,6
1649,7279,2,3,11,11,3,0,0,0
1650,7669,10,5,8,88,4,0,0,0
1651,-1,91,21,12,8,1,0,0,0
1652,4580,4,12,49,6,12,0,0,0
1653,2631,1,23,3,5,7,0,0,1
1654,-1,3,17,30,1,4,0,0,0
1656,6357,2,13,16,81,5,0,0,0
1657,1655,0,12,16,4,2,0,0,0
1658,5994,301,21,61,6,1,0,0,8
1660,15584,6,18,64,67,4,0,0,1
1665,766,0,6,4,8,6,0,0,0
1669,1751,0,12,11,1,4,0,0,0
1670,18363,84,122,1284,72,46,0,0,30
1674,2829,2,45,22,3,3,0,0,0
1675,-1,177,22,245,14,10,0,0,0
1676,1881,3,37,8,2,5,0,0,0
1677,835,0,5,2,1,3,0,0,0
1679,8726,14,25,20,16,4,0,0,3
1680,983,4,5,1,1,2,0,0,0
1682,4411,49,7,26,24,6,0,0,2
1683,2175,4,4,13,11,2,0,0,1
1684,2407,58,15,80,17,9,0,0,7
1686,7663,148,4,138,6,15,0,0,9
1687,758,10,7,5,1,7,0,0,0
1688,1164,18,18,17,4,5,0,0,3
1689,7330,35,10,28,372,10,0,0,2
1690,854,60,8,8,1,4,0,0,0
1692,614,5,4,7,2,3,0,0,0
1693,1155,22,12,10,2,6,0,0,0
1694,653,7,2,2,1,4,0,0,0
1695,11641,1327,95,179,6,3,0,0,1
1696,1438,72,14,44,4,3,0,0,3
1699,151726,2421,142,1307,731,72,0,53,6
1702,32766,852,76,617,47,31,0,0,5
1703,1201,68,14,39,7,6,0,0,1
1704,1241,10,9,8,59,5,0,0,1
1705,3268,370,29,82,3,6,0,0,0
1706,1045,13,8,5,10,5,0,0,0
1707,93952,1189,82,812,74,29,0,34,5
1709,12242,125,26,51,2,9,0,0,15
1710,9051,179,40,39,11,11,0,0,6
1711,1171,50,7,7,1,5,0,0,0
1712,1091,43,4,20,4,4,0,0,1
1716,633,17,4,7,2,6,0,0,1
1717,-1,31,22,22,2,4,0,0,0
1719,25442,1070,34,121,5,8,0,0,1
1722,10309,215,75,139,7,11,0,0,1
1726,3080,265,27,3,1,7,0,0,0
1730,906,15,9,4,1,7,0,0,0
1731,1009,58,7,6,2,2,0,0,1
1732,2579,38,22,18,23,1,0,0,0
1735,-1,21,5,16,4,3,0,0,2
1737,1860,29,9,21,3,6,0,0,1
1739,3593,149,27,31,3,2,0,0,0
1740,11827,159,22,131,13,2,0,0,4
1742,925,75,13,2,1,3,0,0,0
1744,1346,41,23,12,2,9,0,0,0
1745,7472,350,45,63,9,24,0,0,4
1747,1114,25,21,19,3,7,0,0,3
1748,1430,23,17,13,1,8,0,0,0
1749,-1,13,25,20,2,5,0,0,0
1750,21127,1143,50,363,12,11,0,0,0
1752,5204,0,18,7,8,5,0,0,0
1753,3281,85,22,14,8,4,0,0,0
1756,-1,2407,638,1608,219,130,0,0,21
1758,2307,109,39,19,6,9,0,0,1
1759,773,24,2,2,7,3,0,0,0
1763,1229,24,12,4,4,1,0,0,0
1764,2447,193,5,6,1,4,0,0,2
1766,7499,51,90,400,24,15,0,0,9
1769,59063,924,588,801,238,71,0,0,14
1771,6763,240,63,54,17,5,0,0,2
1772,48986,1119,141,655,59,43,0,0,6
1774,2729,99,5,1,0,5,0,0,0
1775,-1,1257,116,542,5,12,0,0,2
1777,1332,7,10,11,3,6,0,0,0
1778,986,0,12,4,1,1,0,0,0
1779,973,45,10,4,1,4,0,0,0
1780,1392,69,7,2,1,1,0,0,0
1781,876,39,14,8,1,5,0,0,1
1782,3764,1047,17,28,2,16,0,0,1
1783,1813,25,10,16,3,6,0,0,1
1784,2309,50,10,27,3,14,0,0,2
1785,7469,239,48,193,9,8,0,0,2
1786,11510,334,22,195,10,8,0,0,5
1787,-1,90,233,185,21,25,0,0,58
1788,5005,105,23,22,4,9,0,0,0
1789,8058,25,32,24,5,5,0,0,0
1791,1846,31,6,1,1,8,0,0,0
1792,8123,70,24,55,4,2,0,0,0
1794,3363,53,7,24,7,8,0,0,1
1795,-1,307,55,291,22,20,0,0,5
1797,913,15,6,7,2,6,0,0,0
1798,137007,12744,248,3019,89,27,0,471,17
1799,108106,2007,853,2511,584,136,0,0,37
1800,3330,31,22,14,1,5,0,0,1
1801,4444,106,36,14,2,1,0,0,0
1802,785,75,13,11,3,3,0,0,5
1804,2336,141,13,4,1,2,0,0,0
1806,1487,17,14,13,1,4,0,0,0
1809,1312,31,20,4,1,3,0,0,0
1810,8123,227,33,77,13,26,0,0,1
1811,2606,149,34,11,1,6,0,0,1
1815,2503,166,28,2,1,5,0,0,0
1819,1066,16,3,3,2,3,0,0,0
1820,4076,490,22,4,1,6,0,0,0
1825,1400,20,9,6,1,5,0,0,0
1827,5240,20,31,93,10,9,0,0,3
1829,6893,228,42,169,19,6,0,0,5
1830,5285,312,21,79,3,2,0,0,1
1832,2882,80,24,25,2,2,0,0,1
1833,1261,36,6,17,3,3,0,0,1
1834,225873,2927,562,2608,265,763,0,0,190
1836,858,1,16,4,3,7,0,0,4
1838,6684,374,31,14,2,7,0,0,0
1839,1570,19,18,9,3,8,0,0,1
1840,1363,31,27,15,1,2,0,0,2
1841,1482,40,10,14,3,7,0,0,1
1842,3367,133,25,33,1,3,0,0,1
1843,5310,133,40,52,3,3,0,0,0
1844,5233,91,27,191,8,5,0,0,3
1846,5614,117,15,88,4,3,0,0,0
1849,6571,391,70,62,13,7,0,0,1
1850,3005,30,15,17,4,7,0,0,0
1851,-1,444,175,318,62,117,0,0,30
1852,1821,66,17,7,2,5,0,0,0
1853,1892,95,14,9,3,4,0,0,0
1855,33482,455,102,1704,91,85,0,0,19
1856,1525,5,6,12,6,6,0,0,1
1857,5465,194,27,33,8,4,0,0,0
1860,4058,92,33,28,2,8,0,0,3
1862,1684,10,12,17,2,5,0,0,1
1863,1368,4,4,4,3,4,0,0,0
1864,53583,780,144,1286,125,967,0,0,32
1865,1299,27,3,19,2,6,0,0,0
1866,1415,25,12,4,1,3,0,0,0
1868,3228,131,35,95,6,10,0,0,5
1869,2329,16,5,7,18,5,0,0,1
1871,708,42,12,4,2,0,0,0,1
1872,2459,54,10,52,4,4,0,0,3
1877,874,9,6,11,2,2,0,0,3
1878,7445,394,40,17,6,5,0,0,2
1879,123296,4255,1931,4482,346,175,0,787,48
1880,1325,44,8,3,1,4,0,0,0
1883,1058,1,14,7,1,4,0,0,1
1884,9140,335,40,165,24,8,0,0,11
1885,1123,13,6,5,2,4,0,0,0
1887,4187,109,44,20,7,3,0,0,6
1890,99180,7133,93,2975,70,35,0,0,6
1892,3429,91,3,13,1,2,0,0,0
1893,1706,56,28,10,1,4,0,0,4
1894,1749,2,15,1,1,8,0,0,2
1895,3454,161,30,15,1,2,0,0,2
1896,609,5,4,6,2,6,0,0,2
1897,1504,6,7,2,1,5,0,0,0
1898,-1,409,79,119,3,2,0,0,2
1899,2504,51,21,12,1,4,0,0,1
1901,2361,323,37,139,17,2,0,0,8
1902,4133,28,7,3,7,7,0,0,3
1903,732,15,4,11,2,1,0,0,0
1905,2592,31,23,9,3,7,0,0,0
1906,2382,2,7,11,3,0,0,0,3
1912,1823,6,76,17,3,3,0,0,4
1913,1201,34,4,8,1,6,0,0,0
1914,1083,6,22,11,3,5,0,0,0
1915,1457,71,10,3,2,4,0,0,0
1917,2897,118,40,30,7,5,0,0,0
1918,1685,8,27,11,1,7,0,0,0
1919,18305,371,261,298,18,11,0,0,14
1920,1892,47,32,6,1,1,0,0,1
1921,2524,106,39,22,2,6,0,0,1
1926,13343,145,373,310,25,28,0,0,46
1928,7520,126,27,149,11,5,0,998,4
1929,2761,90,21,62,6,5,0,0,1
1931,11422,107,37,13,1,4,0,0,0
1933,141471,2016,91,103,92,7,0,0,1
1934,843,7,6,10,3,3,0,0,0
1935,8888,586,82,165,9,12,0,761,1
1936,6077,175,29,57,1,3,0,0,2
1938,2169,35,19,30,3,3,0,0,3
1940,5077,31,17,5,1,4,0,0,0
1942,20417,124,34,42,5,5,0,0,1
1944,15980,133,88,105,13,24,0,0,7
1945,30180,752,124,264,11,12,0,419,7
1946,-1,459,21,20,3,3,0,0,0
1949,5607,86,200,101,7,9,0,0,18
1950,1451,52,30,48,11,6,0,0,7
1951,1046,6,9,4,1,4,0,0,0
1952,1234,29,8,4,1,3,0,0,0
1953,3422,148,50,31,1,8,0,0,0
1957,6640,99,22,148,10,10,0,0,1
1958,2604,51,21,25,4,4,0,0,4
1959,14287,946,26,75,2,2,0,0,0
1960,1138,28,11,17,2,6,0,0,2
1961,346518,5230,1541,9396,1194,391,0,237,88
1963,1259,5,3,9,2,1,0,0,1
1964,1781,69,21,5,3,7,0,0,1
1966,2044,13,58,14,1,2,0,0,2
1967,19961,422,29,48,6,22,0,0,3
1970,31507,662,38,422,51,141,0,0,13
1971,4023,84,24,8,1,5,0,0,1
1973,1809,9,23,3,2,4,0,0,0
1974,1654,32,9,15,4,7,0,0,1
1975,8924,326,77,93,12,9,0,0,5
1976,3515,24,47,15,2,4,0,0,3
1977,3273,36,14,32,5,7,0,0,0
1978,8267,163,56,82,2,8,0,0,1
1979,3631,144,43,9,1,8,0,0,0
1980,3332,103,28,11,1,1,0,0,0
1981,8495,118,21,145,8,21,0,0,0
1982,1777,10,19,4,1,2,0,0,1
1983,3989,72,28,10,6,5,0,0,1
1984,25531,104,145,231,9,4,0,0,5
1985,5154,25,17,19,1,6,0,0,0
1988,70452,470,203,738,101,132,0,0,20
1990,4934,79,58,19,5,1,0,0,1
1991,3454,83,88,29,2,5,0,0,4
1992,6803,60,21,23,2,9,0,0,6
1993,2409,48,37,19,2,5,0,0,1
1995,6457,50,36,27,5,3,0,0,2
1996,6011,65,93,56,5,1,0,0,2
1997,20869,260,94,39,9,5,0,0,2
1998,8356,71,147,77,7,3,0,0,11
1999,17523,97,167,45,6,8,0,0,6
2000,12413,22,185,81,11,10,0,0,18
2001,10380,106,123,106,12,7,0,0,7
2002,9300,97,219,115,6,2,0,0,9
2005,3280,17,113,22,4,6,0,0,2
2006,3584,31,110,14,1,3,0,0,1
2007,13595,427,80,363,38,10,0,0,9
2008,8252,64,126,30,4,5,0,0,4
2009,178029,219,139,89,5,5,0,0,10
2010,11307,212,60,23,3,7,0,0,4
2011,10087,31,32,32,4,4,0,0,3
2012,106392,104,164,144,26,10,0,0,25
2013,74810,752,201,1075,45,21,0,0,71
2018,14761,163,2041,90,16,13,0,0,86
2019,3220,41,391,17,5,2,0,0,7
2020,8399,176,408,235,10,5,0,0,11
2022,2578,28,122,19,2,7,0,0,1
2024,784,19,75,1,1,4,0,0,0
2026,1039,20,32,2,2,5,0,0,1
2029,5035,286,53,34,4,4,0,0,0
2030,1366,8,74,17,2,7,0,0,6
2031,1570,21,13,10,1,2,0,0,0
2033,37462,737,84,152,24,48,0,0,1
2035,5560,146,51,24,3,5,0,0,2
2038,26419,1181,110,137,26,5,0,871,0
2039,960,13,18,3,1,1,0,0,0
2040,7369,292,75,107,13,166,0,0,7
2041,5490,25,12,12,33,3,0,0,0
2042,1109,30,4,6,2,2,0,0,0
2043,2122,15,11,7,3,5,0,0,0
2044,868,8,6,10,1,5,0,0,0
2046,69544,130,36,414,27,22,0,0,1
2048,9858,91,56,44,5,4,0,0,2
2049,4796,51,50,40,4,6,0,0,4
2051,3543,121,32,30,12,4,0,0,5
2052,2792,6,17,9,2,2,0,0,1
2053,-1,68644,16658,106638,22740,17212,0,31,4375
2054,3277,68,17,20,3,2,0,0,1
2055,2240,180,16,17,8,3,0,0,0
2056,2063,18,10,2,2,4,0,0,0
2061,2199,6,13,13,17,6,0,0,1
2065,21514,658,28,78,1,4,0,0,1
2068,82,29,10,12,2,1,0,0,1
2069,3956,203,59,32,7,6,0,0,8
2071,1450,78,17,3,1,2,0,0,0
2072,2044,75,14,6,1,6,0,0,0
2073,1133,55,2,4,3,2,0,0,0
2075,60893,725,24,90,10,3,0,0,1
2076,630,28,6,3,1,3,0,0,0
2078,2053,56,18,23,3,5,0,0,0
2079,9083,303,99,183,7,7,0,0,3
2080,1907,56,26,8,3,3,0,0,3
2082,5270,102,14,20,4,4,0,0,1
2085,6525,714,84,44,5,8,0,0,2
2089,918,172,17,6,2,6,0,0,0
2090,1130,34,12,0,1,4,0,0,0
2091,4888,440,52,45,11,12,0,0,1
2092,4848,157,28,21,2,4,0,0,0
2093,1882,102,12,9,2,3,0,0,0
2094,16976,1569,79,109,2,6,0,0,0
2096,1355,37,18,15,4,5,0,0,1
2097,1273,41,16,0,1,5,0,0,0
2100,2837,50,80,8,3,3,0,0,1
2101,61218,4,216,446,44,13,0,0,1
2105,167,104,8,2,1,3,0,0,0
2107,1394,21,5,1,2,3,0,0,0
2108,1377,28,12,7,2,3,0,0,0
2109,2429,8,22,33,2,3,0,0,0
2110,25131,719,60,381,40,6,0,0,2
2111,3516,159,38,10,7,5,0,0,1
2112,3033,139,11,18,2,4,0,0,0
2113,2814,50,26,38,3,5,0,0,1
2114,13966,1194,38,115,8,12,0,0,2
2117,3417,345,22,12,1,3,0,0,0
2119,13843,1181,37,98,10,5,0,0,4
2120,1433,23,10,4,1,6,0,0,0
2123,1929,31,6,3,1,5,0,0,0
2124,3968,259,12,3,1,5,0,0,0
2125,2550,62,12,18,1,2,0,0,1
2126,3122,671,19,6,2,4,0,0,0
2127,4368,140,11,21,4,2,0,0,0
2128,2685,355,18,12,1,3,0,0,0
2129,1786,765,15,6,1,3,0,0,0
2130,7476,66,15,93,10,5,0,0,0
2132,87,0,7,4,1,6,0,0,1
2135,817,6,5,1,1,6,0,0,0
2136,1773,0,12,13,1,1,0,0,0
2137,3591,3,19,28,4,4,0,0,1
2139,861,0,11,6,3,6,0,0,0
2140,1762,2,13,19,2,7,0,0,0
2142,35327,450,563,806,26,28,0,0,9
2143,1962,57,16,20,2,5,0,0,0
2144,2382,199,24,8,6,2,0,0,3
2148,1521,25,6,12,9,12,0,0,0
2149,5207,832,45,27,2,2,0,0,0
2150,2689,135,13,15,2,4,0,0,0
2151,-1,333,17,19,1,6,0,0,0
2152,2076,17,8,9,3,4,0,0,0
2153,17925,316,27,167,4,9,0,0,0
2154,805,6,3,0,1,6,0,0,0
2156,35,76,6,11,1,3,0,0,0
2157,1729,52,13,27,1,2,0,0,0
2158,764,47,7,11,2,0,0,0,0
2162,154007,2433,162,1020,39,24,0,314,6
2163,-1,2436,177,215,8,9,0,0,1
2164,1978,103,15,3,1,5,0,0,0
2166,733,28,12,0,2,3,0,0,0
2168,1548,29,12,21,4,3,0,0,1
2169,24522,152,12,61,12,15,0,0,0
2171,1145,13,7,5,1,0,0,0,0
2172,1456,10,4,0,5,4,0,0,0
2173,2136,69,10,2,1,5,0,0,0
2175,1917,199,7,4,5,8,0,0,1
2176,510,8,4,1,4,3,0,0,0
2180,5098,380,18,4,1,2,0,0,0
2181,3300,162,25,48,4,5,0,0,1
2183,5607,436,26,13,3,4,0,0,0
2184,4529,110,12,107,4,5,0,0,2
2185,2497,127,23,23,2,11,0,0,0
2186,-1,65,11,25,5,7,0,0,0
2187,2927,31,10,36,14,4,0,0,5
2188,-1,2,9,20,4,4,0,0,0
2191,6794,207,23,114,7,4,0,0,0
2193,2441,23,9,3,5,5,0,0,0
2196,3432,222,19,5,1,0,0,0,0
2202,1209,79,21,3,1,5,0,0,0
2203,1301,22,11,5,2,12,0,0,1
2204,14701,225,67,264,13,19,0,0,3
2205,1483,11,7,4,2,1,0,0,0
2206,742,10,14,1,1,6,0,0,1
2209,866,80,12,15,3,7,0,0,0
2212,2975,4,20,4,1,1,0,0,0
2213,1138,61,10,1,1,3,0,0,0
2215,5672,157,35,324,24,13,0,0,18
