dt,view,danmaku,reply,favorite,coin,share,now_rank,his_rank,no_reprint,copyright
2018-5-5-1-48-31,90361,3510,1479,8334,18939,920,0,0,1,1
2018-5-5-1-59-5,90363,3510,1479,8334,18939,920,0,0,1,1
2018-5-5-2-9-37,90364,3510,1479,8334,18939,920,0,0,1,1
2018-5-5-2-20-10,90371,3512,1479,8334,18939,920,0,0,1,1
2018-5-5-2-30-41,90376,3512,1479,8334,18939,921,0,0,1,1
2018-5-5-2-41-14,90380,3512,1479,8334,18939,921,0,0,1,1
2018-5-5-2-51-47,90383,3512,1479,8334,18939,921,0,0,1,1
2018-5-5-3-2-19,90386,3512,1479,8335,18939,921,0,0,1,1
2018-5-5-3-12-52,90391,3512,1479,8335,18939,921,0,0,1,1
2018-5-5-3-23-25,90393,3512,1479,8335,18939,921,0,0,1,1
2018-5-5-3-33-57,90394,3512,1479,8334,18939,921,0,0,1,1
2018-5-5-3-44-30,90401,3512,1479,8334,18939,921,0,0,1,1
2018-5-5-3-55-3,90408,3512,1479,8335,18939,921,0,0,1,1
2018-5-5-4-5-34,90416,3513,1479,8335,18939,921,0,0,1,1
2018-5-5-4-16-8,90427,3514,1479,8336,18939,921,0,0,1,1
2018-5-5-4-26-39,90436,3518,1479,8337,18939,921,0,0,1,1
2018-5-5-4-37-13,90448,3518,1479,8338,18941,921,0,0,1,1
2018-5-5-4-47-45,90453,3518,1479,8338,18941,921,0,0,1,1
2018-5-5-4-58-17,90458,3518,1479,8337,18941,921,0,0,1,1
2018-5-5-5-8-49,90462,3518,1479,8337,18941,921,0,0,1,1
2018-5-5-5-19-21,90468,3519,1479,8337,18941,921,0,0,1,1
2018-5-5-5-29-54,90475,3520,1479,8337,18943,921,0,0,1,1
2018-5-5-5-40-27,90479,3520,1479,8337,18943,921,0,0,1,1
2018-5-5-5-51-0,90483,3520,1479,8337,18943,921,0,0,1,1
2018-5-5-6-1-31,90489,3520,1479,8337,18945,921,0,0,1,1
2018-5-5-6-12-3,90501,3520,1479,8337,18945,921,0,0,1,1
2018-5-5-6-22-36,90506,3520,1479,8337,18945,921,0,0,1,1
2018-5-5-6-33-9,90507,3520,1479,8337,18945,921,0,0,1,1
2018-5-5-6-43-42,90512,3520,1479,8337,18945,921,0,0,1,1
2018-5-5-6-54-13,90520,3520,1479,8337,18947,921,0,0,1,1
2018-5-5-7-4-47,90525,3520,1479,8338,18947,921,0,0,1,1
2018-5-5-7-15-20,90525,3520,1479,8338,18947,921,0,0,1,1
2018-5-5-7-25-51,90529,3520,1479,8338,18947,921,0,0,1,1
2018-5-5-7-36-23,90532,3520,1479,8338,18947,921,0,0,1,1
2018-5-5-7-46-56,90533,3520,1479,8338,18947,921,0,0,1,1
2018-5-5-7-57-28,90540,3520,1479,8338,18947,921,0,0,1,1
2018-5-5-8-8-1,90542,3520,1479,8338,18947,921,0,0,1,1
2018-5-5-8-18-34,90544,3520,1479,8338,18947,921,0,0,1,1
2018-5-5-8-29-5,90545,3520,1479,8338,18949,921,0,0,1,1
2018-5-5-8-39-36,90549,3520,1479,8338,18949,921,0,0,1,1
2018-5-5-8-50-8,90554,3520,1479,8338,18949,921,0,0,1,1
2018-5-5-9-0-40,90560,3520,1479,8338,18949,921,0,0,1,1
2018-5-5-9-11-12,90563,3520,1479,8338,18949,921,0,0,1,1
2018-5-5-9-21-43,90564,3520,1479,8338,18949,921,0,0,1,1
2018-5-5-9-32-15,90566,3520,1479,8338,18949,921,0,0,1,1
2018-5-5-9-42-48,90568,3520,1479,8338,18949,921,0,0,1,1
2018-5-5-9-53-20,90569,3520,1479,8338,18949,921,0,0,1,1
2018-5-5-10-3-53,90573,3520,1479,8338,18949,921,0,0,1,1
2018-5-5-10-14-25,90581,3521,1479,8338,18949,921,0,0,1,1
2018-5-5-10-24-59,90586,3521,1479,8338,18949,921,0,0,1,1
2018-5-5-10-35-30,90589,3521,1479,8338,18949,921,0,0,1,1
2018-5-5-10-46-4,90595,3521,1479,8338,18949,921,0,0,1,1
2018-5-5-10-56-35,90601,3521,1479,8339,18949,921,0,0,1,1
2018-5-5-11-7-7,90604,3521,1479,8339,18949,921,0,0,1,1
2018-5-5-11-17-39,90608,3521,1479,8339,18951,921,0,0,1,1
2018-5-5-11-28-10,90611,3521,1480,8339,18951,921,0,0,1,1
2018-5-5-11-38-43,90616,3522,1480,8340,18953,921,0,0,1,1
2018-5-5-11-49-16,90620,3522,1480,8340,18953,921,0,0,1,1
2018-5-5-11-59-48,90625,3522,1480,8341,18957,921,0,0,1,1
2018-5-5-12-10-22,90629,3523,1480,8342,18957,921,0,0,1,1
2018-5-5-12-20-57,90633,3523,1480,8342,18957,921,0,0,1,1
2018-5-5-12-31-29,90638,3523,1480,8342,18957,921,0,0,1,1
2018-5-5-12-42-0,90643,3524,1480,8342,18957,921,0,0,1,1
2018-5-5-12-52-33,90646,3524,1480,8342,18959,921,0,0,1,1
2018-5-5-13-3-6,90650,3525,1480,8342,18959,921,0,0,1,1
2018-5-5-13-13-38,90657,3525,1480,8343,18961,921,0,0,1,1
2018-5-5-13-24-11,90659,3525,1480,8343,18961,922,0,0,1,1
2018-5-5-13-34-44,90661,3525,1480,8343,18961,922,0,0,1,1
2018-5-5-13-45-16,90663,3525,1480,8344,18961,922,0,0,1,1
2018-5-5-13-55-50,90665,3525,1480,8344,18961,922,0,0,1,1
2018-5-5-14-6-24,90671,3526,1480,8344,18963,922,0,0,1,1
2018-5-5-14-16-56,90672,3526,1480,8344,18963,922,0,0,1,1
2018-5-5-14-27-28,90675,3527,1480,8344,18963,922,0,0,1,1
2018-5-5-14-38-2,90681,3527,1480,8344,18963,922,0,0,1,1
2018-5-5-14-48-37,90687,3527,1480,8344,18965,922,0,0,1,1
2018-5-5-14-59-10,90696,3527,1480,8345,18967,922,0,0,1,1
2018-5-5-15-9-44,90704,3527,1480,8346,18969,922,0,0,1,1
2018-5-5-15-20-17,90713,3527,1480,8346,18971,922,0,0,1,1
2018-5-5-15-30-49,90725,3528,1480,8346,18973,922,0,0,1,1
2018-5-5-15-41-21,90733,3529,1480,8347,18973,922,0,0,1,1
2018-5-5-15-51-53,90738,3529,1480,8347,18973,922,0,0,1,1
2018-5-5-16-2-26,90742,3529,1480,8347,18973,922,0,0,1,1
2018-5-5-16-12-58,90747,3529,1480,8347,18973,922,0,0,1,1
2018-5-5-16-23-30,90752,3529,1480,8348,18975,923,0,0,1,1
