dt, fans
2018-5-5-14-48-15,6352
2018-5-5-14-58-48,6352
2018-5-5-15-9-22,6355
2018-5-5-15-19-55,6357
2018-5-5-15-30-28,6356
2018-5-5-15-41-0,6357
2018-5-5-15-51-32,6357
2018-5-5-16-2-4,6357
2018-5-5-16-12-37,6357
2018-5-5-16-23-9,6357
2018-5-5-16-33-42,6357
2018-5-5-16-44-13,6356
2018-5-5-16-54-47,6356
2018-5-5-17-5-19,6354
2018-5-5-17-15-52,6354
2018-5-5-17-26-24,6354
2018-5-5-17-36-57,6354
2018-5-5-17-47-31,6354
2018-5-5-17-58-5,6354
2018-5-5-18-8-38,6354
2018-5-5-18-19-9,6355
2018-5-5-18-29-41,6356
2018-5-5-18-40-13,6356
2018-5-5-18-50-45,6356
2018-5-5-19-1-18,6356
2018-5-5-19-11-50,6357
2018-5-5-19-22-25,6357
2018-5-5-19-33-0,6357
2018-5-5-19-43-33,6358
2018-5-5-19-54-5,6358
2018-5-5-20-4-37,6358
2018-5-5-20-15-10,6358
2018-5-5-20-25-42,6358
2018-5-5-20-36-15,6358
2018-5-5-20-46-48,6358
2018-5-5-20-57-20,6358
2018-5-5-21-7-54,6358
2018-5-5-21-18-28,6358
2018-5-5-21-29-2,6358
2018-5-5-21-39-34,6358
2018-5-5-21-50-6,6358
2018-5-5-22-0-39,6358
2018-5-5-22-11-11,6358
2018-5-5-22-21-45,6358
2018-5-5-22-32-16,6358
2018-5-5-22-42-50,6358
2018-5-5-22-53-22,6358
2018-5-5-23-3-53,6358
2018-5-5-23-14-26,6358
2018-5-5-23-25-0,6358
2018-5-5-23-35-32,6358
2018-5-5-23-46-6,6358
2018-5-5-23-56-39,6359
2018-5-6-0-7-13,6359
2018-5-6-0-17-45,6359
2018-5-6-0-28-17,6360
2018-5-6-0-38-50,6360
2018-5-6-0-49-23,6360
2018-5-6-0-59-55,6360
2018-5-6-1-10-29,6360
2018-5-6-1-21-0,6360
2018-5-6-1-31-32,6360
2018-5-6-1-42-3,6361
2018-5-6-1-52-35,6363
2018-5-6-2-3-7,6363
2018-5-6-2-13-41,6363
2018-5-6-2-24-13,6364
2018-5-6-2-34-44,6365
2018-5-6-2-45-17,6365
2018-5-6-2-55-50,6366
2018-5-6-3-6-24,6366
2018-5-6-3-16-57,6366
2018-5-6-3-27-31,6366
2018-5-6-3-38-5,6366
2018-5-6-3-48-36,6366
2018-5-6-3-59-8,6366
2018-5-6-4-9-41,6367
2018-5-6-4-20-14,6367
2018-5-6-4-30-47,6368
2018-5-6-4-41-19,6370
2018-5-6-4-51-51,6370
2018-5-6-5-2-23,6372
2018-5-6-5-12-54,6373
2018-5-6-5-23-26,6374
2018-5-6-5-33-58,6372
2018-5-6-5-44-31,6372
2018-5-6-5-55-5,6371
2018-5-6-6-5-36,6371
2018-5-6-6-16-8,6371
2018-5-6-6-26-42,6370
2018-5-6-6-37-16,6370
2018-5-6-6-47-49,6370
2018-5-6-6-58-22,6371
2018-5-6-7-8-56,6371
2018-5-6-7-19-30,6371
2018-5-6-7-30-3,6371
2018-5-6-7-40-36,6372
2018-5-6-7-51-7,6372
2018-5-6-8-1-40,6373
2018-5-6-8-12-11,6373
2018-5-6-8-22-44,6374
2018-5-6-8-33-18,6375
2018-5-6-8-43-52,6376
2018-5-6-8-54-25,6376
2018-5-6-9-4-59,6377
2018-5-6-9-15-32,6378
2018-5-6-9-26-6,6378
2018-5-6-9-36-39,6379
2018-5-6-9-47-13,6380
2018-5-6-9-57-44,6382
2018-5-6-10-8-16,6383
2018-5-6-10-18-50,6386
2018-5-6-10-29-22,6386
2018-5-6-10-39-54,6386
2018-5-6-10-50-26,6386
2018-5-6-11-0-59,6385
2018-5-6-11-11-31,6385
2018-5-6-11-22-5,6386
2018-5-6-11-32-37,6386
2018-5-6-11-43-11,6386
2018-5-6-11-53-44,6386
2018-5-6-12-4-16,6386
2018-5-6-12-14-50,6386
2018-5-6-12-25-23,6388
2018-5-6-12-35-55,6388
2018-5-6-12-46-28,6388
2018-5-6-12-57-1,6388
2018-5-6-13-7-34,6388
2018-5-6-13-18-6,6389
2018-5-6-13-28-39,6389
2018-5-6-13-39-11,6389
2018-5-6-13-49-43,6389
2018-5-6-14-0-16,6389
2018-5-6-14-10-48,6389
2018-5-6-14-21-22,6391
2018-5-6-14-31-56,6391
2018-5-6-14-42-27,6392
2018-5-6-14-53-1,6392
2018-5-6-15-3-33,6392
2018-5-6-15-14-4,6393
2018-5-6-15-24-39,6395
2018-5-6-15-35-11,6395
2018-5-6-15-45-43,6396
2018-5-6-15-56-15,6396
2018-5-6-16-6-46,6396
2018-5-6-16-17-19,6396
2018-5-6-16-27-53,6396
2018-5-6-16-38-27,6396
2018-5-6-16-49-3,6396
2018-5-6-16-59-36,6399
2018-5-6-17-10-7,6399
2018-5-6-17-20-40,6400
2018-5-6-17-31-12,6401
2018-5-6-17-41-43,6402
2018-5-6-17-52-17,6402
2018-5-6-18-2-49,6402
2018-5-6-18-13-22,6402
2018-5-6-18-23-55,6402
2018-5-6-18-34-29,6402
2018-5-6-18-45-6,6402
2018-5-6-18-55-40,6402
2018-5-6-19-6-15,6402
2018-5-6-19-16-46,6402
2018-5-6-19-27-18,6402
2018-5-6-19-37-51,6402
2018-5-6-19-48-23,6402
2018-5-6-19-58-56,6402
2018-5-6-20-9-28,6402
2018-5-6-20-20-0,6402
2018-5-6-20-30-33,6402
2018-5-6-20-41-8,6402
2018-5-6-20-51-41,6402
2018-5-6-21-2-12,6402
2018-5-6-21-12-45,6402
2018-5-6-21-23-18,6402
2018-5-6-21-33-50,6402
2018-5-6-21-44-25,6402
2018-5-6-21-54-58,6402
2018-5-6-22-5-31,6402
2018-5-6-22-16-7,6402
2018-5-6-22-26-38,6402
2018-5-6-22-37-10,6402
2018-5-6-22-47-43,6402
2018-5-6-22-58-16,6402
2018-5-6-23-8-49,6402
2018-5-6-23-19-21,6403
2018-5-6-23-29-53,6403
