tra_infr,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 
AIRP_MAIN,IS	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	4 	4 	3 	3 	3 	: 	: 
AIRP_MAIN,IT	33 	34 	34 	34 	33 	35 	34 	33 	32 	33 	32 	32 	30 	30 	29 	22 	20 
AIRP_MAIN,LT	3 	3 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	1 	1 	1 	1 	1 
AIRP_MAIN,LU	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP_MAIN,LV	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP_MAIN,ME	2 	2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_MAIN,MK	1 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_MAIN,MT	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP_MAIN,NL	5 	5 	5 	5 	5 	5 	4 	4 	4 	5 	4 	4 	4 	4 	4 	4 	4 
AIRP_MAIN,NO	17 	18 	18 	20 	21 	19 	19 	19 	18 	17 	17 	17 	15 	16 	15 	16 	16 
AIRP_MAIN,PL	12 	12 	12 	12 	10 	10 	10 	10 	10 	10 	10 	8 	6 	6 	6 	6 	6 
AIRP_MAIN,PT	8 	8 	7 	7 	7 	7 	7 	7 	7 	7 	7 	8 	8 	8 	7 	7 	7 
AIRP_MAIN,RO	9 	8 	7 	7 	7 	7 	7 	6 	6 	4 	4 	4 	4 	3 	2 	1 	2 
AIRP_MAIN,RS	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_MAIN,SE	18 	19 	18 	19 	19 	19 	18 	18 	18 	18 	18 	18 	18 	18 	21 	18 	18 
AIRP_MAIN,SI	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP_MAIN,SK	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 
AIRP_MAIN,TR	42 	40 	40 	36 	31 	29 	27 	24 	23 	22 	19 	18 	14 	14 	12 	12 	13 
AIRP_MAIN,UK	32 	32 	31 	33 	34 	33 	32 	32 	32 	34 	33 	33 	33 	32 	30 	31 	31 
AIRP_OTH,AT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
AIRP_OTH,BE	0 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP_OTH,BG	1 	1 	1 	1 	1 	1 	1 	1 	2 	2 	1 	1 	1 	1 	1 	1 	1 
AIRP_OTH,CH	2 	1 	1 	2 	3 	2 	2 	3 	3 	3 	3 	3 	3 	3 	2 	2 	2 
AIRP_OTH,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
AIRP_OTH,CZ	2 	2 	2 	2 	1 	2 	2 	2 	2 	0 	0 	1 	1 	1 	1 	1 	1 
AIRP_OTH,DE	17 	16 	17 	13 	13 	12 	14 	6 	8 	7 	7 	9 	9 	10 	10 	10 	10 
AIRP_OTH,DK	3 	2 	3 	3 	3 	2 	3 	2 	2 	2 	1 	1 	1 	2 	4 	3 	2 
AIRP_OTH,EE	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
AIRP_OTH,EL	11 	14 	12 	12 	14 	13 	13 	13 	14 	15 	12 	8 	11 	9 	12 	: 	: 
AIRP_OTH,ES	4 	4 	6 	7 	6 	7 	7 	8 	7 	6 	5 	6 	5 	6 	5 	5 	5 
AIRP_OTH,FI	9 	8 	9 	11 	11 	11 	12 	12 	12 	13 	13 	12 	10 	11 	12 	11 	11 
AIRP_OTH,FR	18 	18 	20 	19 	18 	19 	20 	26 	22 	20 	19 	20 	22 	19 	29 	25 	25 
AIRP_OTH,HR	2 	2 	2 	2 	1 	1 	2 	2 	1 	2 	1 	2 	4 	4 	: 	: 	: 
AIRP_OTH,HU	1 	2 	1 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	0 	0 	0 	0 
AIRP_OTH,IE	2 	2 	3 	3 	4 	3 	5 	5 	5 	3 	4 	4 	5 	6 	6 	6 	6 
AIRP_OTH,IS	4 	3 	3 	3 	3 	3 	3 	3 	4 	4 	3 	3 	4 	4 	4 	: 	: 
AIRP_OTH,IT	2 	2 	4 	3 	4 	2 	4 	5 	6 	6 	6 	5 	7 	7 	7 	3 	2 
AIRP_OTH,LT	1 	1 	2 	2 	2 	2 	1 	1 	1 	1 	1 	1 	2 	2 	2 	2 	2 
AIRP_OTH,LU	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
AIRP_OTH,LV	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP_OTH,ME	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_OTH,MK	1 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_OTH,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
AIRP_OTH,NL	0 	0 	0 	0 	0 	0 	1 	1 	1 	0 	1 	1 	1 	1 	1 	1 	1 
AIRP_OTH,NO	22 	29 	29 	29 	29 	30 	31 	30 	30 	31 	30 	29 	27 	27 	30 	28 	21 
AIRP_OTH,PL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	4 	3 	3 	2 	2 
AIRP_OTH,PT	5 	5 	6 	6 	6 	3 	6 	3 	3 	3 	3 	2 	2 	2 	2 	2 	2 
AIRP_OTH,RO	2 	4 	4 	4 	5 	2 	2 	3 	3 	5 	5 	5 	5 	6 	6 	7 	6 
AIRP_OTH,RS	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_OTH,SE	12 	12 	12 	13 	13 	13 	14 	14 	14 	13 	14 	14 	14 	14 	11 	13 	12 
AIRP_OTH,SI	0 	0 	0 	0 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	0 	0 
AIRP_OTH,SK	2 	2 	2 	2 	4 	4 	4 	3 	4 	4 	4 	4 	4 	4 	4 	1 	1 
AIRP_OTH,TR	8 	11 	11 	12 	15 	16 	16 	16 	13 	16 	19 	16 	0 	1 	2 	2 	1 
AIRP_OTH,UK	10 	10 	11 	12 	9 	13 	13 	13 	14 	13 	13 	13 	13 	14 	13 	10 	12 
