freq,unit,tra_meas,rep_airp,partner\TIME_PERIOD	2019-Q4 
Q,T,FRM_BRD,DE_EDDK,EU28	118121 
Q,T,FRM_BRD,DE_EDDL,EU28	763 
Q,T,FRM_BRD,DE_EDDM,EU28	18187 
Q,T,FRM_BRD,DE_EDDN,EU28	1816 
Q,T,FRM_BRD,DE_EDDP,EU28	184765 
Q,T,FRM_BRD,DE_EDDR,EU28	12 
Q,T,FRM_BRD,DE_EDDS,EU28	6202 
Q,T,FRM_BRD,DE_EDDT,EU28	1082 
Q,T,FRM_BRD,DE_EDDV,EU28	5626 
Q,T,FRM_BRD,DE_EDDW,EU28	63 
Q,T,FRM_BRD,DE_EDFH,EU28	2603 
Q,T,FRM_BRD,DE_EDJA,EU28	5 
Q,T,FRM_BRD,DE_EDLP,EU28	67 
Q,T,FRM_BRD,DE_EDLV,EU28	0 
Q,T,FRM_BRD,DE_EDLW,EU28	0 
Q,T,FRM_BRD,DE_EDNY,EU28	0 
Q,T,FRM_BRD,DE_EDSB,EU28	156 
Q,T,FRM_BRD,DE_ETNL,EU28	0 
Q,T,FRM_BRD,DK_EKAH,EU28	0 
Q,T,FRM_BRD,DK_EKBI,EU28	4363 
Q,T,FRM_BRD,DK_EKCH,EU28	21173 
Q,T,FRM_BRD,DK_EKEB,EU28	0 
Q,T,FRM_BRD,DK_EKKA,EU28	0 
Q,T,FRM_BRD,DK_EKRK,EU28	0 
Q,T,FRM_BRD,DK_EKRN,EU28	0 
Q,T,FRM_BRD,DK_EKSB,EU28	0 
Q,T,FRM_BRD,DK_EKYT,EU28	0 
Q,T,FRM_BRD,EE_EETN,EU28	2644 
Q,T,FRM_BRD,EL_LGAL,EU28	32 
Q,T,FRM_BRD,EL_LGAV,EU28	16101 
Q,T,FRM_BRD,EL_LGBL,EU28	0 
Q,T,FRM_BRD,EL_LGHI,EU28	56 
Q,T,FRM_BRD,EL_LGIK,EU28	42 
Q,T,FRM_BRD,EL_LGIO,EU28	0 
Q,T,FRM_BRD,EL_LGIR,EU28	145 
Q,T,FRM_BRD,EL_LGKA,EU28	0 
Q,T,FRM_BRD,EL_LGKC,EU28	26 
Q,T,FRM_BRD,EL_LGKF,EU28	0 
Q,T,FRM_BRD,EL_LGKJ,EU28	4 
Q,T,FRM_BRD,EL_LGKL,EU28	0 
Q,T,FRM_BRD,EL_LGKO,EU28	73 
Q,T,FRM_BRD,EL_LGKP,EU28	40 
Q,T,FRM_BRD,EL_LGKR,EU28	24 
Q,T,FRM_BRD,EL_LGKS,EU28	24 
Q,T,FRM_BRD,EL_LGKV,EU28	27 
Q,T,FRM_BRD,EL_LGKY,EU28	4 
Q,T,FRM_BRD,EL_LGKZ,EU28	0 
Q,T,FRM_BRD,EL_LGLE,EU28	30 
Q,T,FRM_BRD,EL_LGLM,EU28	36 
Q,T,FRM_BRD,EL_LGMK,EU28	8 
Q,T,FRM_BRD,EL_LGML,EU28	28 
Q,T,FRM_BRD,EL_LGMT,EU28	75 
Q,T,FRM_BRD,EL_LGNX,EU28	30 
Q,T,FRM_BRD,EL_LGPA,EU28	8 
Q,T,FRM_BRD,EL_LGPL,EU28	5 
Q,T,FRM_BRD,EL_LGPZ,EU28	0 
Q,T,FRM_BRD,EL_LGRP,EU28	138 
Q,T,FRM_BRD,EL_LGRX,EU28	0 
Q,T,FRM_BRD,EL_LGSA,EU28	57 
Q,T,FRM_BRD,EL_LGSK,EU28	0 
Q,T,FRM_BRD,EL_LGSM,EU28	57 
Q,T,FRM_BRD,EL_LGSO,EU28	5 
Q,T,FRM_BRD,EL_LGSR,EU28	32 
Q,T,FRM_BRD,EL_LGST,EU28	0 
Q,T,FRM_BRD,EL_LGSY,EU28	2 
Q,T,FRM_BRD,EL_LGTS,EU28	893 
Q,T,FRM_BRD,EL_LGZA,EU28	0 
Q,T,FRM_BRD,ES_GCFV,EU28	207 
Q,T,FRM_BRD,ES_GCHI,EU28	49 
Q,T,FRM_BRD,ES_GCLA,EU28	126 
Q,T,FRM_BRD,ES_GCLP,EU28	5483 
Q,T,FRM_BRD,ES_GCRR,EU28	326 
Q,T,FRM_BRD,ES_GCTS,EU28	467 
Q,T,FRM_BRD,ES_GCXO,EU28	4193 
Q,T,FRM_BRD,ES_GEML,EU28	32 
Q,T,FRM_BRD,ES_LEAL,EU28	441 
Q,T,FRM_BRD,ES_LEAM,EU28	0 
Q,T,FRM_BRD,ES_LEAS,EU28	12 
Q,T,FRM_BRD,ES_LEBB,EU28	221 
Q,T,FRM_BRD,ES_LEBL,EU28	13820 
Q,T,FRM_BRD,ES_LECO,EU28	59 
Q,T,FRM_BRD,ES_LEGE,EU28	14 
Q,T,FRM_BRD,ES_LEGR,EU28	0 
Q,T,FRM_BRD,ES_LEIB,EU28	617 
Q,T,FRM_BRD,ES_LEJR,EU28	0 
Q,T,FRM_BRD,ES_LEMD,EU28	52441 
Q,T,FRM_BRD,ES_LEMG,EU28	331 
Q,T,FRM_BRD,ES_LEMH,EU28	444 
Q,T,FRM_BRD,ES_LEPA,EU28	1689 
Q,T,FRM_BRD,ES_LEPP,EU28	3 
Q,T,FRM_BRD,ES_LERS,EU28	0 
Q,T,FRM_BRD,ES_LESO,EU28	0 
Q,T,FRM_BRD,ES_LEST,EU28	350 
Q,T,FRM_BRD,ES_LEVC,EU28	2730 
Q,T,FRM_BRD,ES_LEVD,EU28	2 
Q,T,FRM_BRD,ES_LEVT,EU28	6919 
Q,T,FRM_BRD,ES_LEVX,EU28	133 
Q,T,FRM_BRD,ES_LEXJ,EU28	0 
Q,T,FRM_BRD,ES_LEZG,EU28	4404 
Q,T,FRM_BRD,ES_LEZL,EU28	1369 
Q,T,FRM_BRD,FI_EFET,EU28	0 
Q,T,FRM_BRD,FI_EFHK,EU28	18816 
Q,T,FRM_BRD,FI_EFIV,EU28	1 
Q,T,FRM_BRD,FI_EFJO,EU28	4 
Q,T,FRM_BRD,FI_EFJY,EU28	2 
Q,T,FRM_BRD,FI_EFKE,EU28	5 
Q,T,FRM_BRD,FI_EFKI,EU28	6 
Q,T,FRM_BRD,FI_EFKK,EU28	3 
Q,T,FRM_BRD,FI_EFKS,EU28	1 
Q,T,FRM_BRD,FI_EFKT,EU28	2 
Q,T,FRM_BRD,FI_EFKU,EU28	6 
Q,T,FRM_BRD,FI_EFMA,EU28	23 
Q,T,FRM_BRD,FI_EFOU,EU28	58 
Q,T,FRM_BRD,FI_EFPO,EU28	0 
Q,T,FRM_BRD,FI_EFRO,EU28	19 
