direct,unit,rep_mar\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 
IN,THS_T,IS_0ISDAL	: 	3 	4 	2 	4 	: 	: 	: 	: 	: 	: 	: 	: 	6 	7 	8 	11 	10 	16 	17 	22 	20 	: 
IN,THS_T,IS_0ISDJU	: 	1 	1 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	3 	12 	2 	6 	5 	0 	3 	4 	3 	: 
IN,THS_T,IS_0ISESK	: 	16 	19 	13 	13 	: 	: 	: 	: 	: 	: 	: 	: 	56 	42 	50 	57 	31 	70 	34 	20 	18 	: 
IN,THS_T,IS_0ISFAS	: 	0 	0 	2 	0 	: 	: 	: 	: 	: 	: 	: 	: 	6 	8 	8 	11 	8 	8 	8 	9 	5 	: 
IN,THS_T,IS_0ISFLA	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	2 	1 	0 	0 	1 	1 	1 	2 	2 	: 
IN,THS_T,IS_0ISGRF	: 	10 	10 	7 	12 	: 	: 	: 	: 	: 	: 	: 	: 	10 	9 	9 	5 	1 	5 	6 	9 	4 	: 
IN,THS_T,IS_0ISGRI	: 	21 	24 	21 	24 	: 	: 	: 	: 	: 	: 	: 	: 	13 	15 	16 	15 	13 	16 	14 	16 	16 	: 
IN,THS_T,IS_0ISGRT	: 	1295 	1173 	1240 	1219 	: 	: 	: 	: 	: 	: 	: 	: 	721 	690 	664 	633 	617 	606 	524 	412 	294 	: 
IN,THS_T,IS_0ISGRY	: 	0 	0 	3 	3 	: 	: 	: 	: 	: 	: 	: 	: 	2 	2 	3 	3 	1 	1 	2 	: 	1 	: 
IN,THS_T,IS_0ISHAF	: 	0 	178 	185 	160 	: 	: 	: 	: 	: 	: 	: 	: 	173 	165 	155 	144 	95 	118 	175 	223 	232 	: 
IN,THS_T,IS_0ISHFN	: 	16 	15 	26 	9 	: 	: 	: 	: 	: 	: 	: 	: 	15 	19 	20 	17 	17 	16 	23 	20 	28 	: 
IN,THS_T,IS_0ISHRI	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	1 	1 	1 	1 	1 	1 	2 	3 	2 	: 
IN,THS_T,IS_0ISHUS	: 	93 	89 	39 	5 	: 	: 	: 	: 	: 	: 	: 	: 	11 	12 	30 	24 	11 	22 	22 	25 	31 	: 
IN,THS_T,IS_0ISHVK	: 	1 	2 	2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	5 	4 	1 	3 	4 	3 	2 	3 	3 	: 
IN,THS_T,IS_0ISHVM	: 	0 	340 	4 	4 	: 	: 	: 	: 	: 	: 	: 	: 	3 	5 	3 	3 	3 	3 	4 	3 	3 	: 
IN,THS_T,IS_0ISHVR	: 	0 	0 	13 	35 	: 	: 	: 	: 	: 	: 	: 	: 	26 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,IS_0ISISA	: 	14 	23 	18 	18 	: 	: 	: 	: 	: 	: 	: 	: 	16 	28 	42 	29 	32 	26 	27 	32 	29 	: 
IN,THS_T,IS_0ISKEF	: 	501 	598 	454 	285 	: 	: 	: 	: 	: 	: 	: 	: 	154 	105 	103 	110 	110 	94 	85 	43 	37 	: 
IN,THS_T,IS_0ISKOP	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	1 	0 	: 	: 	: 
IN,THS_T,IS_0ISKOV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	53 	29 	23 	25 	7 	: 	: 	0 	: 	: 
IN,THS_T,IS_0ISNES	: 	18 	55 	333 	38 	: 	: 	: 	: 	: 	: 	: 	: 	24 	24 	20 	24 	18 	18 	14 	17 	16 	: 
IN,THS_T,IS_0ISNOU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	0 	: 	: 	: 
IN,THS_T,IS_0ISOLF	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	1 	2 	4 	5 	5 	7 	6 	: 
IN,THS_T,IS_0ISOLV	: 	6 	4 	5 	5 	: 	: 	: 	: 	: 	: 	: 	: 	4 	3 	4 	3 	4 	5 	5 	3 	5 	: 
IN,THS_T,IS_0ISPAT	: 	32 	5 	7 	2 	: 	: 	: 	: 	: 	: 	: 	: 	4 	6 	6 	9 	9 	9 	8 	8 	8 	: 
IN,THS_T,IS_0ISRAU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 	4 	4 	4 	6 	4 	3 	5 	6 	: 
IN,THS_T,IS_0ISREY	: 	1546 	1529 	1234 	1209 	: 	: 	: 	: 	: 	: 	: 	: 	1546 	1618 	1406 	1215 	1164 	1344 	1450 	1488 	1395 	: 
IN,THS_T,IS_0ISRFJ	: 	916 	920 	892 	966 	: 	: 	: 	: 	: 	: 	: 	: 	509 	289 	110 	62 	21 	17 	24 	27 	28 	: 
IN,THS_T,IS_0ISRHA	: 	22 	22 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	21 	0 	0 	0 	: 	: 	: 
IN,THS_T,IS_0ISRIF	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	3 	3 	2 	3 	3 	: 
IN,THS_T,IS_0ISSAN	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	1 	1 	1 	0 	2 	3 	: 
IN,THS_T,IS_0ISSAU	: 	23 	20 	13 	16 	: 	: 	: 	: 	: 	: 	: 	: 	22 	25 	30 	25 	22 	29 	27 	29 	25 	: 
IN,THS_T,IS_0ISSEY	: 	12 	18 	14 	23 	: 	: 	: 	: 	: 	: 	: 	: 	25 	23 	17 	11 	11 	7 	14 	17 	12 	: 
IN,THS_T,IS_0ISSIG	: 	3 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 	2 	9 	19 	16 	20 	24 	25 	14 	: 
IN,THS_T,IS_0ISSKA	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	0 	4 	7 	5 	4 	5 	4 	2 	6 	: 
IN,THS_T,IS_0ISSTD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	1 	0 	: 	: 	2 	: 
IN,THS_T,IS_0ISSTR	: 	231 	39 	540 	499 	: 	: 	: 	: 	: 	: 	: 	: 	420 	439 	466 	442 	448 	455 	410 	447 	376 	: 
IN,THS_T,IS_0ISSTY	: 	6 	3 	4 	3 	: 	: 	: 	: 	: 	: 	: 	: 	2 	4 	6 	5 	5 	3 	5 	3 	3 	: 
IN,THS_T,IS_0ISSUD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	0 	: 
IN,THS_T,IS_0ISSUV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	1 	: 
IN,THS_T,IS_0ISTAL	: 	0 	2 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	2 	0 	2 	0 	: 	2 	: 	: 	: 
IN,THS_T,IS_0ISTEY	: 	8 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	1 	2 	0 	3 	0 	1 	1 	1 	3 	: 
IN,THS_T,IS_0ISTHH	: 	53 	67 	19 	24 	: 	: 	: 	: 	: 	: 	: 	: 	25 	25 	11 	13 	12 	14 	47 	9 	13 	: 
IN,THS_T,IS_0ISTHO	: 	3 	0 	3 	3 	: 	: 	: 	: 	: 	: 	: 	: 	1 	5 	5 	7 	6 	6 	8 	0 	7 	: 
IN,THS_T,IS_0ISVES	: 	30 	41 	28 	27 	: 	: 	: 	: 	: 	: 	: 	: 	32 	58 	37 	47 	39 	35 	56 	36 	41 	: 
IN,THS_T,IS_0ISVPN	: 	4 	108 	5 	5 	: 	: 	: 	: 	: 	: 	: 	: 	7 	10 	9 	0 	1 	7 	10 	9 	8 	: 
IN,THS_T,IT	315005 	312199 	304245 	296042 	292505 	283991 	297638 	305757 	327326 	324457 	316889 	358752 	363372 	358108 	348235 	338374 	334819 	322824 	318414 	315155 	291430 	305675 	298110 
IN,THS_T,IT_0IT001	76 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,IT_0IT002	285 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,IT_0IT003	596 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,IT_0IT004	1448 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,IT_0IT888	197 	356 	217 	173 	81 	133 	52 	29 	37 	291 	342 	310 	260 	442 	538 	39 	131 	1029 	1221 	1774 	: 	: 	: 
IN,THS_T,IT_0IT88D	: 	: 	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,IT_0IT88P	4280 	4309 	4976 	3673 	4384 	3249 	1290 	457 	25 	22 	1 	10 	8 	6 	1 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,IT_0IT88Q	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,IT_0ITAHO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	1210 	: 
IN,THS_T,IT_0ITALI	: 	0 	2 	8 	8 	9 	5 	4 	4 	2 	12 	1 	2 	4 	6 	2 	2 	2 	2 	2 	2 	0 	2 
IN,THS_T,IT_0ITAMA	0 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
IN,THS_T,IT_0ITANZ	0 	0 	1 	0 	2 	2 	5 	0 	0 	2 	1 	0 	0 	1 	1 	12 	5 	0 	1 	17 	7 	30 	65 
IN,THS_T,IT_0ITAOI	2564 	3067 	2430 	2120 	2134 	2317 	2030 	2346 	1974 	2409 	2720 	3002 	3199 	2858 	2728 	3117 	3333 	3954 	4032 	4523 	3575 	2902 	4237 
IN,THS_T,IT_0ITATX	301 	204 	180 	164 	26 	34 	13 	17 	18 	15 	12 	16 	29 	26 	28 	22 	34 	12 	11 	25 	33 	36 	41 
IN,THS_T,IT_0ITAUG	10021 	11156 	11956 	11139 	11858 	13570 	12802 	13738 	14185 	15213 	13980 	15019 	16563 	16861 	17725 	17379 	17472 	16479 	17023 	16908 	12931 	15801 	14710 
IN,THS_T,IT_0ITBAI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55 	101 	66 	: 
IN,THS_T,IT_0ITBDS	6500 	5705 	6161 	5555 	7734 	6064 	7298 	8362 	8857 	8429 	8613 	9045 	8792 	8445 	8554 	9321 	9253 	8073 	7507 	5845 	6671 	5888 	4920 
IN,THS_T,IT_0ITBLN	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
IN,THS_T,IT_0ITBLT	955 	993 	1103 	894 	935 	893 	790 	1200 	1285 	1280 	1463 	1084 	996 	779 	676 	819 	922 	738 	683 	614 	700 	649 	632 
IN,THS_T,IT_0ITBRI	4041 	2897 	3076 	3106 	2542 	2434 	2186 	2036 	2135 	2495 	1376 	1659 	2182 	2119 	1676 	1720 	1845 	1811 	1918 	1927 	1238 	1258 	1399 
IN,THS_T,IT_0ITCAG	5386 	4954 	5462 	6160 	4749 	5549 	5304 	6006 	5646 	4427 	3925 	4371 	4583 	4698 	4521 	4806 	2598 	2204 	1943 	2032 	2667 	2765 	2626 
IN,THS_T,IT_0ITCAS	1 	6 	0 	0 	1 	0 	174 	61 	0 	52 	0 	46 	70 	7 	31 	45 	96 	85 	9 	238 	139 	201 	227 
IN,THS_T,IT_0ITCGC	118 	17 	173 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,IT_0ITCHI	891 	1226 	566 	741 	957 	1217 	1495 	990 	2405 	2846 	2575 	2114 	2188 	1986 	1812 	1794 	1499 	1127 	953 	825 	916 	731 	1065 
IN,THS_T,IT_0ITCLF	5 	44 	4 	112 	77 	93 	100 	78 	68 	70 	71 	74 	88 	116 	135 	139 	131 	144 	166 	135 	204 	227 	140 
IN,THS_T,IT_0ITCLS	13 	0 	2 	37 	8 	9 	2 	1 	0 	1 	17 	0 	0 	0 	1 	0 	2 	0 	0 	5 	35 	27 	: 
IN,THS_T,IT_0ITCML	: 	25 	23 	11 	50 	35 	46 	30 	33 	79 	0 	89 	98 	247 	264 	152 	335 	93 	118 	127 	82 	91 	64 
IN,THS_T,IT_0ITCPA	9 	6 	8 	7 	28 	8 	15 	11 	9 	6 	7 	14 	13 	2 	2 	3 	29 	3 	0 	0 	0 	0 	5 
IN,THS_T,IT_0ITCRV	216 	332 	339 	363 	186 	248 	402 	131 	157 	170 	375 	401 	356 	360 	264 	247 	204 	151 	188 	146 	259 	425 	523 
IN,THS_T,IT_0ITCTA	3701 	3308 	3929 	3569 	1737 	2057 	1294 	1253 	1413 	1232 	535 	933 	692 	571 	1252 	1163 	1332 	1210 	1362 	1376 	1268 	1216 	950 
IN,THS_T,IT_0ITCTR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	12 	3 	0 	0 	2 	2 	0 	0 	1069 	7 	28 
IN,THS_T,IT_0ITCVV	5729 	6486 	5771 	6167 	6566 	6548 	6913 	6989 	3595 	2868 	2711 	3201 	3917 	4549 	4642 	4521 	5697 	5757 	5089 	6606 	7874 	8570 	8778 
IN,THS_T,IT_0ITCVX	: 	7 	1 	4 	10 	1 	4 	9 	7 	17 	4 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	0 	: 
IN,THS_T,IT_0ITFAL	3456 	3206 	3299 	3727 	3526 	3535 	2638 	2965 	3772 	3524 	3597 	3888 	3779 	3547 	3710 	3608 	3370 	3386 	2818 	2099 	3024 	3600 	2737 
IN,THS_T,IT_0ITFAV	: 	294 	277 	230 	203 	83 	127 	104 	110 	129 	10 	83 	141 	75 	69 	0 	10 	26 	28 	31 	0 	: 	140 
IN,THS_T,IT_0ITFCO	3494 	3446 	2495 	2542 	2803 	2327 	2370 	3677 	4594 	5078 	5301 	6092 	5763 	5391 	5487 	5220 	4774 	4119 	4813 	4595 	4030 	4283 	4924 
IN,THS_T,IT_0ITFOM	8 	7 	23 	1 	8 	11 	38 	29 	96 	20 	7 	53 	7 	69 	65 	51 	43 	18 	32 	11 	8 	15 	9 
IN,THS_T,IT_0ITFPO	: 	: 	0 	6 	19 	23 	14 	14 	19 	13 	8 	8 	11 	17 	11 	6 	6 	7 	11 	7 	0 	0 	1 
IN,THS_T,IT_0ITGAE	1700 	1875 	1629 	1739 	1909 	1923 	2798 	2372 	2626 	2042 	1839 	2439 	3070 	2382 	2300 	2059 	2124 	1792 	1666 	1737 	1389 	1616 	1260 
IN,THS_T,IT_0ITGAI	200 	256 	209 	179 	103 	122 	121 	124 	147 	168 	89 	73 	173 	229 	211 	193 	202 	216 	264 	358 	1017 	1198 	994 
IN,THS_T,IT_0ITGAL	8 	1 	1 	9 	14 	: 	: 	0 	0 	0 	1 	1 	8 	7 	5 	21 	11 	12 	20 	12 	5 	6 	1 
IN,THS_T,IT_0ITGEA	400 	284 	227 	209 	317 	624 	1057 	1579 	4098 	4487 	4127 	5311 	5265 	3860 	4528 	4598 	3883 	4220 	4643 	4608 	4835 	4144 	4825 
IN,THS_T,IT_0ITGIA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	1 	1 	0 	0 	0 	0 	0 	0 	0 	: 
IN,THS_T,IT_0ITGII	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	4 	0 	8 	0 	0 	0 	0 	0 	0 	0 
IN,THS_T,IT_0ITGIT	12892 	14272 	11460 	13461 	12691 	13114 	13210 	13363 	14572 	18682 	17527 	16234 	15163 	14213 	14690 	14842 	12456 	12706 	10817 	10740 	10591 	7016 	6678 
IN,THS_T,IT_0ITGOA	28904 	31023 	29683 	27882 	27954 	29273 	27513 	30003 	30821 	30123 	31270 	34172 	36091 	33384 	31294 	34531 	35105 	33737 	32454 	33180 	33699 	33533 	33511 
IN,THS_T,IT_0ITGOR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
IN,THS_T,IT_0ITGRD	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	: 
IN,THS_T,IT_0ITIDG	16 	29 	12 	12 	16 	14 	23 	16 	17 	14 	11 	11 	13 	16 	10 	15 	13 	14 	14 	11 	36 	52 	118 
IN,THS_T,IT_0ITIMP	20 	24 	12 	7 	12 	15 	54 	39 	38 	31 	32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,IT_0ITLEV	: 	112 	123 	82 	70 	43 	37 	29 	37 	34 	31 	33 	50 	13 	17 	5 	2 	3 	2 	2 	0 	1 	5 
IN,THS_T,IT_0ITLIC	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	69 	56 	75 	110 	104 	101 	112 	78 	71 	57 	63 	64 
IN,THS_T,IT_0ITLIP	: 	1350 	1492 	1468 	1369 	1501 	1680 	1596 	1795 	1749 	931 	1766 	1576 	1576 	1280 	1425 	1278 	1060 	865 	1019 	867 	1199 	922 
IN,THS_T,IT_0ITLIU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 	6 	0 	0 	15 	0 	0 	7 	0 	0 	: 
IN,THS_T,IT_0ITLIV	21157 	16954 	16221 	15128 	18190 	15584 	14998 	12499 	11640 	13625 	14241 	21215 	18907 	17017 	16030 	14669 	15088 	14907 	14612 	14099 	14210 	15231 	13817 
IN,THS_T,IT_0ITLMP	163 	99 	81 	136 	192 	332 	368 	331 	487 	677 	418 	433 	425 	402 	412 	361 	123 	34 	46 	37 	143 	146 	177 
IN,THS_T,IT_0ITMAZ	: 	5 	8 	0 	17 	26 	8 	47 	79 	43 	12 	46 	44 	47 	46 	77 	48 	63 	62 	57 	44 	67 	73 
IN,THS_T,IT_0ITMDA	249 	229 	201 	461 	1509 	1460 	1003 	151 	177 	176 	405 	2 	1 	0 	82 	109 	93 	116 	305 	284 	663 	715 	776 
IN,THS_T,IT_0ITMDC	1020 	951 	679 	617 	611 	615 	802 	1540 	1894 	1585 	1100 	1334 	1529 	1901 	1728 	1641 	1707 	1652 	1652 	1849 	1817 	1823 	2173 
IN,THS_T,IT_0ITMFR	336 	402 	387 	451 	304 	376 	326 	425 	534 	553 	409 	640 	733 	626 	532 	664 	676 	661 	472 	424 	395 	609 	586 
IN,THS_T,IT_0ITMLZ	4856 	8172 	6803 	7049 	4294 	3817 	5399 	6442 	6393 	5057 	8143 	8819 	8281 	10276 	9811 	6998 	9370 	8765 	8219 	6835 	4352 	5349 	6845 
IN,THS_T,IT_0ITMMO	: 	66 	94 	193 	84 	81 	60 	62 	83 	36 	49 	71 	57 	49 	51 	7 	6 	5 	5 	2 	0 	0 	4 
IN,THS_T,IT_0ITMNF	3668 	4056 	4126 	4069 	3727 	3512 	3522 	3228 	3184 	2750 	4256 	4437 	4022 	4050 	3693 	3486 	3578 	2898 	2569 	2778 	2032 	2609 	1927 
IN,THS_T,IT_0ITMNP	438 	197 	322 	334 	253 	356 	278 	274 	241 	201 	50 	182 	113 	137 	235 	240 	231 	215 	197 	134 	117 	147 	159 
IN,THS_T,IT_0ITMOL	: 	151 	111 	117 	122 	110 	83 	209 	166 	142 	96 	199 	158 	149 	137 	154 	216 	209 	158 	77 	171 	240 	281 
IN,THS_T,IT_0ITMRA	: 	0 	: 	31 	38 	29 	29 	45 	60 	52 	45 	57 	80 	98 	57 	66 	81 	67 	95 	82 	75 	61 	44 
IN,THS_T,IT_0ITMSN	4025 	3228 	3801 	3490 	4079 	4502 	4813 	4695 	4548 	4914 	1330 	1797 	1925 	1182 	796 	584 	571 	604 	147 	152 	190 	518 	1362 
IN,THS_T,IT_0ITNAP	9142 	9486 	10347 	10120 	10655 	8465 	9743 	9336 	10311 	9874 	7254 	6088 	7378 	7978 	7865 	7491 	8851 	8232 	8180 	8173 	9889 	9119 	6988 
IN,THS_T,IT_0ITOLB	3312 	2698 	2474 	2933 	2153 	2499 	3114 	3729 	4450 	4844 	5361 	7270 	4210 	2860 	2650 	2562 	2570 	2437 	2385 	2530 	3493 	3138 	3266 
IN,THS_T,IT_0ITONE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	111 	103 	95 	107 	128 	91 	117 	75 	84 	83 	91 	141 
IN,THS_T,IT_0ITOTN	1160 	1062 	863 	992 	1104 	1020 	1293 	1293 	1306 	1074 	952 	1051 	1265 	1432 	1286 	1322 	1254 	1226 	1218 	1190 	1043 	1113 	1279 
IN,THS_T,IT_0ITOTO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	3 	0 	0 	0 	3 	4 	0 	1 	3 	43 	11 
IN,THS_T,IT_0ITPAN	: 	4 	13 	18 	59 	45 	18 	24 	19 	8 	6 	14 	18 	14 	15 	6 	7 	16 	11 	8 	1 	1 	22 
IN,THS_T,IT_0ITPAU	23 	38 	6 	172 	1 	5 	296 	0 	0 	0 	0 	0 	0 	0 	5 	11 	0 	0 	0 	0 	438 	338 	496 
IN,THS_T,IT_0ITPAZ	: 	: 	0 	: 	: 	: 	: 	0 	: 	: 	0 	2 	4 	4 	5 	4 	9 	4 	3 	4 	2 	11 	10 
IN,THS_T,IT_0ITPCE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 
IN,THS_T,IT_0ITPCH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	3 	0 	0 	: 
IN,THS_T,IT_0ITPDI	: 	21 	29 	34 	57 	65 	75 	60 	50 	123 	6 	225 	330 	366 	297 	398 	380 	496 	365 	306 	223 	286 	219 
IN,THS_T,IT_0ITPEM	75 	315 	95 	313 	132 	187 	154 	255 	131 	148 	30 	78 	46 	184 	153 	141 	208 	238 	200 	225 	194 	252 	291 
IN,THS_T,IT_0ITPES	0 	0 	0 	: 	12 	32 	4 	14 	377 	242 	227 	310 	341 	348 	343 	392 	485 	552 	630 	656 	617 	425 	361 
IN,THS_T,IT_0ITPFE	: 	318 	263 	586 	665 	249 	485 	420 	455 	412 	665 	279 	392 	404 	411 	366 	312 	374 	256 	278 	534 	386 	365 
IN,THS_T,IT_0ITPFO	: 	: 	: 	: 	: 	0 	3931 	3801 	5760 	4489 	223 	237 	444 	516 	565 	588 	555 	624 	596 	: 	: 	: 	: 
IN,THS_T,IT_0ITPFX	11711 	12309 	13578 	12642 	14098 	11449 	13659 	13398 	14241 	13333 	12856 	14712 	14828 	14996 	12807 	14591 	14753 	13761 	12993 	13678 	11961 	11544 	12577 
IN,THS_T,IT_0ITPGA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	44 	97 	80 	98 	174 	133 	136 	73 	56 	69 	37 
IN,THS_T,IT_0ITPGL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	83 	62 	68 	45 
IN,THS_T,IT_0ITPIA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 
IN,THS_T,IT_0ITPIO	2209 	2508 	1684 	2043 	1495 	2303 	3930 	4047 	4268 	5320 	6312 	6377 	6938 	6899 	5881 	5983 	5515 	5973 	6001 	7270 	5528 	5166 	5096 
IN,THS_T,IT_0ITPLI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	0 	0 	0 	0 	0 	: 	: 
IN,THS_T,IT_0ITPMO	5479 	5695 	5281 	4915 	4862 	4223 	3908 	3698 	3600 	3078 	3625 	3491 	3683 	3203 	2933 	2764 	2562 	2247 	2206 	2428 	4127 	3654 	4729 
IN,THS_T,IT_0ITPMZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	5 	10 	13 	9 	3 	6 	20 	6 	18 	33 	80 
IN,THS_T,IT_0ITPNG	760 	693 	412 	310 	322 	355 	291 	928 	637 	530 	278 	519 	642 	525 	648 	988 	878 	932 	985 	898 	470 	455 	543 
IN,THS_T,IT_0ITPNL	370 	92 	127 	75 	72 	138 	192 	235 	280 	223 	82 	164 	106 	150 	152 	89 	68 	67 	76 	81 	81 	218 	99 
IN,THS_T,IT_0ITPNZ	536 	480 	408 	304 	441 	536 	296 	488 	386 	343 	119 	508 	572 	582 	435 	403 	374 	300 	399 	290 	83 	282 	354 
IN,THS_T,IT_0ITPOS	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
IN,THS_T,IT_0ITPOZ	: 	40 	35 	16 	12 	38 	38 	64 	76 	100 	82 	84 	151 	191 	197 	167 	180 	105 	157 	156 	217 	280 	163 
IN,THS_T,IT_0ITPRJ	57 	28 	50 	34 	626 	669 	482 	358 	225 	12 	3 	79 	102 	144 	172 	153 	191 	107 	50 	53 	81 	141 	131 
IN,THS_T,IT_0ITPRO	74 	35 	19 	24 	36 	12 	12 	12 	19 	17 	1 	60 	54 	144 	102 	85 	147 	97 	44 	14 	47 	63 	48 
IN,THS_T,IT_0ITPSR	: 	: 	: 	178 	254 	245 	: 	96 	564 	606 	742 	754 	769 	372 	310 	291 	354 	315 	231 	268 	297 	266 	259 
IN,THS_T,IT_0ITPSS	5 	5 	4 	3 	5 	8 	6 	9 	9 	11 	17 	7 	21 	5 	12 	13 	3 	13 	17 	16 	57 	50 	53 
IN,THS_T,IT_0ITPTF	: 	0 	0 	0 	0 	0 	0 	1 	0 	3 	1 	12 	2 	0 	0 	0 	: 	0 	: 	0 	0 	0 	: 
IN,THS_T,IT_0ITPTO	3034 	2748 	1737 	1615 	2182 	2549 	2529 	2789 	3670 	3939 	3831 	4256 	4261 	4254 	4242 	3590 	3585 	3293 	3023 	3515 	3692 	3754 	4256 
IN,THS_T,IT_0ITPVE	1119 	1234 	957 	848 	954 	620 	932 	1892 	1973 	1957 	2049 	4930 	4752 	4811 	4545 	4334 	3992 	4512 	4863 	4512 	4315 	4581 	4312 
IN,THS_T,IT_0ITPZL	1039 	1034 	1067 	1043 	721 	730 	761 	556 	996 	1419 	789 	679 	598 	289 	578 	334 	369 	356 	284 	309 	254 	: 	279 
IN,THS_T,IT_0ITQOS	1261 	1565 	838 	1009 	828 	835 	771 	879 	1011 	904 	995 	938 	1069 	957 	948 	970 	993 	: 	: 	: 	: 	: 	: 
