direct,unit,rep_mar\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 
IN,THS_T,DE_1DEBMR	5 	6 	7 	10 	7 	9 	13 	21 	28 	17 	13 	27 	7 	13 	7 	17 	15 	7 	12 	17 	16 	13 	7 
IN,THS_T,DE_1DEBRB	7651 	6887 	7262 	6421 	6046 	6008 	5859 	6129 	5496 	5225 	5185 	8864 	7272 	3969 	4200 	5136 	5104 	5236 	5423 	5599 	5733 	6094 	6007 
IN,THS_T,DE_1DEBRE	9086 	9379 	10157 	9855 	9965 	9413 	9396 	10146 	9886 	9773 	8130 	10430 	11071 	10993 	8814 	9740 	10306 	10048 	10611 	11327 	9491 	11168 	11338 
IN,THS_T,DE_1DEBRV	21261 	22092 	21389 	23265 	21901 	23714 	24038 	26139 	25598 	20849 	19844 	23094 	20433 	18925 	15747 	14817 	13456 	12865 	12366 	11661 	9435 	8116 	7857 
IN,THS_T,DE_1DEBUM	148 	165 	103 	105 	84 	120 	119 	93 	106 	79 	57 	67 	52 	63 	65 	65 	79 	58 	76 	76 	76 	67 	68 
IN,THS_T,DE_1DEBUZ	4747 	: 	: 	4064 	3819 	3896 	3757 	4088 	3506 	3307 	3032 	3995 	3830 	3199 	3436 	3223 	2732 	2520 	2893 	2948 	2909 	2739 	2857 
IN,THS_T,DE_1DECAR	: 	: 	: 	9 	9 	11 	10 	8 	9 	12 	8 	7 	8 	8 	8 	8 	8 	7 	8 	11 	13 	15 	14 
IN,THS_T,DE_1DECUX	1998 	1193 	1098 	1166 	1053 	1190 	1136 	1317 	1792 	848 	716 	822 	764 	729 	811 	714 	627 	647 	738 	739 	746 	939 	940 
IN,THS_T,DE_1DEDAG	51 	43 	43 	43 	41 	39 	38 	36 	36 	41 	38 	37 	36 	37 	34 	32 	33 	30 	33 	19 	24 	22 	24 
IN,THS_T,DE_1DEEME	2595 	2740 	2976 	2184 	2030 	2323 	2393 	2689 	2765 	2675 	2408 	2909 	2626 	2442 	2300 	2310 	2183 	2262 	2307 	2479 	2448 	2228 	2058 
IN,THS_T,DE_1DEFRI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 
