,unit,carriage,c_unload,geo,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982
20,MIO_TKM,HIRE,AFR_N,UK,,,,,,,,,,,,,,,,,,,,,,58.0,48.0,28.0,19.0,13.0,1.0,10.0,,,3.0,,0.0,,3.0,22.0,25.0,10.0
21,MIO_TKM,HIRE,AL,AT,,2.0,,,2.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
22,MIO_TKM,HIRE,AL,BE,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
23,MIO_TKM,HIRE,AL,BG,3.0,3.0,12.0,18.0,6.0,7.0,14.0,5.0,43.0,,3.0,37.0,,49.0,,,,,,,,,,,,,,,,,,,,,,,,
24,MIO_TKM,HIRE,AL,CY,,,,,,,,,,0.0,,,,,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
25,MIO_TKM,HIRE,AL,CZ,,19.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MIO_TKM,HIRE,AL,DE,,,,,,,,,,,,1.0,,,,,4.0,,5.0,,,,1.0,,,,,,,,,,,,,,,
27,MIO_TKM,HIRE,AL,DK,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,
28,MIO_TKM,HIRE,AL,EL,45.0,14.0,,,,,,1.0,,,,,,,,,,,,,,6.0,11.0,0.0,,,,,,,,,,,,,,
29,MIO_TKM,HIRE,AL,FI,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
30,MIO_TKM,HIRE,AL,FR,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
31,MIO_TKM,HIRE,AL,HR,,,,,2.0,,1.0,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MIO_TKM,HIRE,AL,HU,3.0,,,,,3.0,0.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MIO_TKM,HIRE,AL,IT,,,,,0.0,,,,,,34.0,,,,2.0,,,,,28.0,1.0,,,,,,,,,,,,,,,,,
34,MIO_TKM,HIRE,AL,NL,,,,,,,,,,,3.0,,,5.0,,8.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,
35,MIO_TKM,HIRE,AL,RO,,,,,16.0,11.0,,4.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MIO_TKM,HIRE,AL,SE,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MIO_TKM,HIRE,AL,SI,,14.0,7.0,,1.0,,,1.0,,,9.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
38,MIO_TKM,HIRE,AL,UK,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
39,MIO_TKM,HIRE,AM,BG,,58.0,57.0,,,,4.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,MIO_TKM,HIRE,AM,CZ,,,51.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,MIO_TKM,HIRE,AM,EL,,,,,,25.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,MIO_TKM,HIRE,AM,IT,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
43,MIO_TKM,HIRE,AM,LT,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,MIO_TKM,HIRE,AM,NL,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
45,MIO_TKM,HIRE,AM,PL,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,MIO_TKM,HIRE,AM,SI,,,,17.0,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,MIO_TKM,HIRE,AM,SK,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,
48,MIO_TKM,HIRE,AT,BE,53.0,85.0,53.0,55.0,102.0,11.0,19.0,21.0,19.0,18.0,23.0,17.0,54.0,38.0,49.0,104.0,122.0,38.0,87.0,65.0,94.0,145.0,179.0,182.0,,,,,58.0,84.0,108.0,73.0,63.0,0.0,34.0,60.0,0.0,0.0
49,MIO_TKM,HIRE,AT,BG,126.0,97.0,229.0,119.0,147.0,95.0,220.0,131.0,66.0,46.0,61.0,309.0,255.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,
50,MIO_TKM,HIRE,AT,CH,9.0,20.0,20.0,16.0,30.0,46.0,53.0,37.0,64.0,47.0,54.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,
51,MIO_TKM,HIRE,AT,CY,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
52,MIO_TKM,HIRE,AT,CZ,454.0,478.0,678.0,577.0,700.0,779.0,722.0,651.0,572.0,589.0,491.0,446.0,470.0,574.0,450.0,394.0,308.0,323.0,296.0,494.0,,,,,,,,,,,,,,,,,,
53,MIO_TKM,HIRE,AT,DE,2050.0,2000.0,1896.0,2076.0,2033.0,2057.0,2250.0,2055.0,2393.0,2536.0,2345.0,2854.0,3473.0,3001.0,2967.0,3404.0,3057.0,2502.0,2750.0,2448.0,2048.0,2028.0,1802.0,1465.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,MIO_TKM,HIRE,AT,DK,47.0,13.0,16.0,23.0,11.0,,5.0,5.0,13.0,8.0,20.0,56.0,36.0,39.0,39.0,85.0,170.0,97.0,92.0,102.0,154.0,110.0,90.0,103.0,101.0,99.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,MIO_TKM,HIRE,AT,EE,11.0,47.0,41.0,9.0,5.0,53.0,39.0,,37.0,33.0,4.0,10.0,26.0,27.0,18.0,57.0,,,,,,,,,,,,,,,,,,,,,,
56,MIO_TKM,HIRE,AT,EL,282.0,89.0,138.0,61.0,38.0,14.0,55.0,37.0,18.0,31.0,25.0,69.0,36.0,10.0,17.0,9.0,23.0,,,,,10.0,6.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,MIO_TKM,HIRE,AT,ES,459.0,258.0,385.0,316.0,213.0,285.0,202.0,330.0,318.0,234.0,340.0,507.0,297.0,412.0,294.0,243.0,294.0,432.0,278.0,207.0,208.0,311.0,257.0,305.0,197.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,
58,MIO_TKM,HIRE,AT,EU15,,,,,,,,,,,,,,,,,,,,,,,,,,,576.0,643.0,,,,,,,,,,
59,MIO_TKM,HIRE,AT,FI,,,,,17.0,10.0,24.0,,,27.0,16.0,,2.0,21.0,2.0,19.0,19.0,8.0,34.0,14.0,25.0,0.0,32.0,8.0,,,,,,,,,,,,,,
60,MIO_TKM,HIRE,AT,FR,28.0,26.0,6.0,15.0,21.0,30.0,23.0,17.0,46.0,28.0,21.0,38.0,37.0,82.0,79.0,95.0,117.0,114.0,150.0,193.0,214.0,248.0,196.0,227.0,216.0,154.0,128.0,207.0,158.0,98.0,82.0,68.0,103.0,66.0,16.0,21.0,51.0,0.0
61,MIO_TKM,HIRE,AT,HR,172.0,221.0,184.0,180.0,225.0,172.0,133.0,136.0,125.0,106.0,90.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,
62,MIO_TKM,HIRE,AT,HU,694.0,660.0,696.0,561.0,561.0,617.0,612.0,591.0,573.0,436.0,431.0,408.0,447.0,382.0,265.0,156.0,155.0,132.0,161.0,,,,,,,,,,,,,,,,,,,
63,MIO_TKM,HIRE,AT,IE,,,,7.0,4.0,,,9.0,7.0,6.0,,2.0,4.0,9.0,7.0,17.0,6.0,40.0,13.0,10.0,4.0,,,,,,,0.0,3.0,5.0,7.0,,16.0,,,,,
64,MIO_TKM,HIRE,AT,IT,294.0,213.0,121.0,183.0,272.0,302.0,357.0,218.0,326.0,428.0,306.0,424.0,399.0,405.0,431.0,442.0,328.0,378.0,402.0,460.0,354.0,,329.0,301.0,250.0,268.0,249.0,259.0,187.0,8.0,534.0,,,,,,,
65,MIO_TKM,HIRE,AT,LI,,,,,,,1.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
66,MIO_TKM,HIRE,AT,LT,105.0,90.0,98.0,45.0,83.0,112.0,111.0,108.0,78.0,73.0,48.0,92.0,62.0,29.0,30.0,46.0,33.0,,,,,,,,,,,,,,,,,,,,,
67,MIO_TKM,HIRE,AT,LU,5.0,4.0,10.0,4.0,5.0,3.0,11.0,13.0,7.0,12.0,13.0,17.0,10.0,12.0,9.0,11.0,16.0,15.0,26.0,20.0,23.0,,1.0,1.0,0.0,7.0,7.0,38.0,,,,,,,,,,
68,MIO_TKM,HIRE,AT,LV,43.0,35.0,37.0,77.0,133.0,75.0,55.0,11.0,30.0,15.0,56.0,54.0,43.0,45.0,49.0,62.0,33.0,47.0,,,,,,,,,,,,,,,,,,,,
69,MIO_TKM,HIRE,AT,NL,99.0,124.0,93.0,131.0,144.0,101.0,247.0,109.0,201.0,112.0,196.0,217.0,207.0,296.0,393.0,377.0,366.0,343.0,336.0,362.0,398.0,520.0,539.0,532.0,0.0,0.0,0.0,0.0,0.0,361.0,313.0,255.0,222.0,183.0,0.0,143.0,0.0,0.0
70,MIO_TKM,HIRE,AT,NO,,,,,,2.0,1.0,,14.0,3.0,14.0,75.0,9.0,14.0,21.0,23.0,31.0,14.0,17.0,34.0,22.0,0.0,0.0,,,,,,,,,,,,,,,
71,MIO_TKM,HIRE,AT,PL,1203.0,1354.0,1458.0,945.0,795.0,789.0,997.0,644.0,823.0,914.0,593.0,636.0,533.0,431.0,349.0,208.0,,,,,,,,,,,,,,,,,,,,,,
72,MIO_TKM,HIRE,AT,PT,59.0,138.0,38.0,69.0,48.0,163.0,201.0,255.0,35.0,65.0,65.0,107.0,,135.0,158.0,39.0,37.0,34.0,63.0,71.0,53.0,174.0,56.0,38.0,,16.0,42.0,,75.0,30.0,24.0,9.0,18.0,0.0,,,,
73,MIO_TKM,HIRE,AT,RO,404.0,374.0,273.0,388.0,309.0,257.0,255.0,172.0,162.0,173.0,185.0,266.0,364.0,329.0,,,,,,,,,,,,,,,,,,,,,,,,
74,MIO_TKM,HIRE,AT,SE,,4.0,5.0,14.0,28.0,11.0,15.0,32.0,11.0,6.0,19.0,8.0,37.0,20.0,4.0,20.0,7.0,3.0,17.0,14.0,15.0,22.0,13.0,34.0,38.0,,,,,,,,,,,,,
75,MIO_TKM,HIRE,AT,SI,477.0,614.0,589.0,466.0,348.0,386.0,314.0,267.0,313.0,296.0,158.0,211.0,179.0,159.0,138.0,129.0,86.0,83.0,98.0,,,,,,,,,,,,,,,,,,,
76,MIO_TKM,HIRE,AT,SK,701.0,715.0,639.0,482.0,627.0,348.0,419.0,484.0,422.0,475.0,422.0,285.0,279.0,161.0,191.0,196.0,195.0,,,,,,,,,,,,,,,,,,,,,
77,MIO_TKM,HIRE,AT,UK,14.0,12.0,16.0,3.0,9.0,8.0,9.0,11.0,14.0,7.0,3.0,12.0,13.0,21.0,13.0,23.0,48.0,42.0,40.0,108.0,137.0,207.0,269.0,187.0,170.0,153.0,104.0,139.0,123.0,79.0,76.0,41.0,0.0,0.0,43.0,35.0,43.0,38.0
78,MIO_TKM,HIRE,AZ,BG,3.0,,,,37.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,MIO_TKM,HIRE,AZ,CZ,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,MIO_TKM,HIRE,AZ,LV,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,MIO_TKM,HIRE,AZ,NL,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
82,MIO_TKM,HIRE,AZ,RO,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,MIO_TKM,HIRE,AZ,SI,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,MIO_TKM,HIRE,BA,AT,,,1.0,,1.0,,,2.0,1.0,0.0,2.0,3.0,,4.0,1.0,2.0,1.0,1.0,3.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
85,MIO_TKM,HIRE,BA,BE,,,,,,,,,,,,,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,
86,MIO_TKM,HIRE,BA,BG,12.0,7.0,,12.0,17.0,,,25.0,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,
87,MIO_TKM,HIRE,BA,CZ,1.0,31.0,,,,9.0,,,9.0,14.0,13.0,14.0,9.0,,13.0,25.0,16.0,,,,,,,,,,,,,,,,,,,,,
88,MIO_TKM,HIRE,BA,DE,,,,,,,7.0,,,8.0,4.0,,28.0,4.0,7.0,0.0,6.0,6.0,,1.0,,1.0,25.0,3.0,,,,,,,,,,,,,,
89,MIO_TKM,HIRE,BA,DK,,,,,,,,,,,,,,,9.0,,10.0,,9.0,14.0,,9.0,5.0,,,,,,,,,,,,,,,
90,MIO_TKM,HIRE,BA,EE,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
91,MIO_TKM,HIRE,BA,EL,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,
92,MIO_TKM,HIRE,BA,ES,45.0,,,,,,,,,,,,,,,,,,20.0,,28.0,,,,,,,,,,,,,,,,,
93,MIO_TKM,HIRE,BA,FI,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
94,MIO_TKM,HIRE,BA,HR,32.0,28.0,25.0,56.0,52.0,47.0,41.0,41.0,45.0,68.0,72.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,
95,MIO_TKM,HIRE,BA,HU,13.0,1.0,8.0,9.0,9.0,10.0,4.0,10.0,1.0,3.0,9.0,12.0,6.0,4.0,8.0,8.0,,,3.0,,,,,,,,,,,,,,,,,,,
96,MIO_TKM,HIRE,BA,IE,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,
97,MIO_TKM,HIRE,BA,IT,,,,,,,,,,,68.0,,24.0,,22.0,,28.0,25.0,6.0,40.0,26.0,,,,,,,,,,,,,,,,,
98,MIO_TKM,HIRE,BA,LV,,,,,15.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
99,MIO_TKM,HIRE,BA,NL,,,,,,,1.0,,,,,,,,8.0,,2.0,5.0,3.0,8.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,,,
100,MIO_TKM,HIRE,BA,NO,,,,,,,,,,,,,15.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,
101,MIO_TKM,HIRE,BA,PL,17.0,,,6.0,74.0,,10.0,,40.0,3.0,15.0,,5.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
102,MIO_TKM,HIRE,BA,PT,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,
103,MIO_TKM,HIRE,BA,RO,17.0,,4.0,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,MIO_TKM,HIRE,BA,SE,,,,,,,,,,,,12.0,1.0,4.0,0.0,10.0,4.0,14.0,,,1.0,1.0,3.0,0.0,2.0,,,,,,,,,,,,,
105,MIO_TKM,HIRE,BA,SI,36.0,18.0,18.0,13.0,15.0,8.0,10.0,10.0,6.0,22.0,19.0,42.0,13.0,20.0,38.0,33.0,43.0,30.0,24.0,,,,,,,,,,,,,,,,,,,
106,MIO_TKM,HIRE,BA,SK,,2.0,,,,,,,12.0,11.0,8.0,,6.0,,11.0,,6.0,,,,,,,,,,,,,,,,,,,,,
107,MIO_TKM,HIRE,BA,UK,,,,,,,1.0,,,,,,,,,,,,5.0,11.0,6.0,,,,,,,,,,,,,,,,,
108,MIO_TKM,HIRE,BE,AT,55.0,44.0,60.0,87.0,82.0,97.0,108.0,122.0,101.0,153.0,213.0,216.0,264.0,252.0,261.0,286.0,302.0,305.0,233.0,233.0,237.0,40.0,30.0,26.0,29.0,,,,,,,,,,,,,
109,MIO_TKM,HIRE,BE,BG,24.0,,43.0,153.0,52.0,15.0,36.0,24.0,19.0,,224.0,62.0,93.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,
110,MIO_TKM,HIRE,BE,CH,22.0,10.0,56.0,49.0,26.0,38.0,6.0,110.0,22.0,25.0,16.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,
111,MIO_TKM,HIRE,BE,CY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
112,MIO_TKM,HIRE,BE,CZ,227.0,173.0,289.0,323.0,536.0,534.0,585.0,404.0,487.0,425.0,345.0,517.0,480.0,461.0,336.0,352.0,512.0,556.0,272.0,410.0,,,,,,,,,,,,,,,,,,
113,MIO_TKM,HIRE,BE,DE,1981.0,2085.0,2042.0,2296.0,2383.0,2388.0,2665.0,2794.0,2999.0,2878.0,2899.0,3482.0,3465.0,3289.0,3196.0,2816.0,2499.0,2463.0,2261.0,1930.0,1890.0,1843.0,2.0,1391.0,1356.0,1255.0,1007.0,1061.0,1121.0,1053.0,1053.0,1103.0,1018.0,1014.0,1088.0,999.0,927.0,901.0
114,MIO_TKM,HIRE,BE,DK,2.0,42.0,21.0,11.0,24.0,33.0,34.0,30.0,25.0,42.0,63.0,67.0,105.0,103.0,68.0,111.0,94.0,43.0,95.0,102.0,130.0,159.0,101.0,110.0,181.0,146.0,120.0,90.0,80.0,78.0,67.0,68.0,64.0,66.0,59.0,62.0,56.0,57.0
115,MIO_TKM,HIRE,BE,EE,,17.0,32.0,44.0,65.0,92.0,49.0,37.0,34.0,75.0,14.0,26.0,40.0,35.0,33.0,90.0,16.0,,,,,,,,,,,,,,,,,,,,,
116,MIO_TKM,HIRE,BE,EL,150.0,330.0,94.0,46.0,48.0,52.0,7.0,130.0,64.0,76.0,54.0,85.0,221.0,40.0,18.0,92.0,78.0,,,,,4.0,3.0,5.0,12.0,5.0,30.0,55.0,37.0,35.0,55.0,58.0,44.0,43.0,51.0,50.0,55.0,41.0
117,MIO_TKM,HIRE,BE,ES,1511.0,1714.0,1850.0,1326.0,1616.0,1411.0,1352.0,1308.0,1394.0,1348.0,1213.0,1696.0,1629.0,1338.0,1239.0,1595.0,1127.0,1329.0,1139.0,894.0,705.0,666.0,608.0,678.0,484.0,387.0,195.0,371.0,438.0,152.0,197.0,361.0,301.0,256.0,,,,
118,MIO_TKM,HIRE,BE,EU15,,,,,,,,,,,,,,,,,,,,,,,,,,,5698.0,6012.0,,,,,,,,,,
119,MIO_TKM,HIRE,BE,FI,,,,,18.0,,14.0,9.0,24.0,14.0,4.0,12.0,21.0,36.0,22.0,76.0,33.0,33.0,15.0,21.0,11.0,26.0,27.0,16.0,,,,,,,,,,,,,,
120,MIO_TKM,HIRE,BE,FR,1203.0,1207.0,1269.0,1273.0,1313.0,1488.0,1576.0,1571.0,1776.0,1608.0,1463.0,1828.0,2082.0,2192.0,2039.0,2083.0,2138.0,2078.0,2166.0,2225.0,2662.0,2294.0,2240.0,2382.0,2084.0,1831.0,1600.0,1773.0,1370.0,1440.0,1416.0,1205.0,1017.0,1053.0,1096.0,1082.0,1021.0,947.0
121,MIO_TKM,HIRE,BE,HR,96.0,94.0,61.0,28.0,50.0,38.0,48.0,32.0,27.0,21.0,32.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,
122,MIO_TKM,HIRE,BE,HU,225.0,193.0,201.0,226.0,241.0,238.0,240.0,234.0,208.0,197.0,198.0,245.0,245.0,206.0,174.0,142.0,154.0,85.0,129.0,,,,,,,,,,,,,,,,,,,
123,MIO_TKM,HIRE,BE,IE,11.0,16.0,15.0,28.0,28.0,17.0,12.0,15.0,16.0,9.0,2.0,11.0,56.0,5.0,25.0,12.0,8.0,28.0,17.0,28.0,11.0,,,,,,12.0,4.0,,6.0,24.0,8.0,24.0,15.0,8.0,6.0,7.0,11.0
124,MIO_TKM,HIRE,BE,IT,292.0,178.0,253.0,231.0,144.0,601.0,555.0,261.0,572.0,545.0,485.0,606.0,465.0,532.0,1047.0,914.0,666.0,856.0,724.0,566.0,571.0,,652.0,466.0,392.0,356.0,338.0,392.0,431.0,351.0,348.0,,,,,,,
125,MIO_TKM,HIRE,BE,LI,,,,,,,,0.0,0.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
126,MIO_TKM,HIRE,BE,LT,88.0,195.0,192.0,65.0,132.0,171.0,247.0,219.0,186.0,123.0,169.0,96.0,177.0,265.0,208.0,157.0,349.0,,,,,,,,,,,,,,,,,,,,,
127,MIO_TKM,HIRE,BE,LU,105.0,85.0,95.0,117.0,122.0,192.0,184.0,193.0,170.0,150.0,133.0,162.0,169.0,182.0,161.0,169.0,181.0,154.0,155.0,109.0,87.0,,14.0,14.0,14.0,119.0,108.0,122.0,,,,,,80.0,54.0,50.0,46.0,65.0
128,MIO_TKM,HIRE,BE,LV,169.0,62.0,142.0,163.0,211.0,98.0,188.0,134.0,183.0,107.0,46.0,124.0,145.0,57.0,70.0,49.0,115.0,41.0,,,,,,,,,,,,,,,,,,,,
129,MIO_TKM,HIRE,BE,NL,3092.0,3092.0,2772.0,2724.0,2643.0,2664.0,2615.0,3349.0,3283.0,3115.0,2503.0,2498.0,2584.0,2593.0,2635.0,2777.0,2460.0,2368.0,2569.0,2501.0,2533.0,2433.0,2276.0,2270.0,2232.0,2099.0,1961.0,1756.0,1429.0,1453.0,1364.0,1364.0,1248.0,1141.0,1121.0,1050.0,949.0,990.0
130,MIO_TKM,HIRE,BE,NO,15.0,16.0,33.0,31.0,32.0,2.0,112.0,11.0,40.0,13.0,12.0,99.0,20.0,35.0,46.0,60.0,20.0,37.0,25.0,46.0,67.0,0.0,0.0,,,,,,,,,,,,,,,
131,MIO_TKM,HIRE,BE,PL,2799.0,2755.0,2605.0,2202.0,1640.0,1931.0,1750.0,1461.0,1632.0,1578.0,1152.0,1181.0,1121.0,955.0,843.0,963.0,,,,,,,,,,,,,,,,,,,,,,
132,MIO_TKM,HIRE,BE,PT,212.0,219.0,208.0,109.0,122.0,283.0,273.0,369.0,261.0,313.0,299.0,272.0,289.0,394.0,349.0,275.0,375.0,307.0,348.0,153.0,82.0,242.0,118.0,253.0,,14.0,95.0,206.0,156.0,75.0,29.0,26.0,32.0,40.0,,,,
133,MIO_TKM,HIRE,BE,RO,654.0,336.0,226.0,297.0,134.0,265.0,285.0,223.0,236.0,230.0,102.0,249.0,525.0,766.0,,,,,,,,,,,,,,,,,,,,,,,,
134,MIO_TKM,HIRE,BE,SE,14.0,0.0,13.0,19.0,45.0,20.0,10.0,34.0,15.0,30.0,63.0,27.0,53.0,62.0,42.0,30.0,59.0,67.0,46.0,70.0,47.0,45.0,35.0,40.0,55.0,,,,,,,,,,,,,
135,MIO_TKM,HIRE,BE,SI,178.0,68.0,90.0,100.0,117.0,122.0,91.0,74.0,108.0,107.0,60.0,93.0,73.0,97.0,67.0,51.0,30.0,32.0,23.0,,,,,,,,,,,,,,,,,,,
136,MIO_TKM,HIRE,BE,SK,252.0,119.0,151.0,184.0,252.0,281.0,148.0,200.0,149.0,235.0,203.0,280.0,261.0,247.0,275.0,205.0,146.0,,,,,,,,,,,,,,,,,,,,,
