,unit,carriage,c_unload,geo,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982
0,MIO_TKM,HIRE,AD,CZ,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,
1,MIO_TKM,HIRE,AD,DE,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MIO_TKM,HIRE,AD,ES,46.0,54.0,18.0,29.0,68.0,39.0,40.0,32.0,17.0,49.0,48.0,35.0,28.0,32.0,49.0,45.0,32.0,48.0,48.0,25.0,45.0,,,,,,,,,,,,,,,,,
3,MIO_TKM,HIRE,AD,FR,2.0,0.0,,,,,2.0,,2.0,3.0,,3.0,7.0,4.0,2.0,,2.0,13.0,4.0,11.0,5.0,,,,,,,,,,,,,,,,,
4,MIO_TKM,HIRE,AD,HU,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MIO_TKM,HIRE,AD,LU,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MIO_TKM,HIRE,AD,NL,,,,0.0,,,,,,,14.0,,,2.0,6.0,7.0,,2.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,
7,MIO_TKM,HIRE,AD,PT,,,,,,,12.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
8,MIO_TKM,HIRE,AD,UK,3.0,6.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MIO_TKM,HIRE,AF,LV,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MIO_TKM,HIRE,AFR_N,DE,,,,,,,,,,,,,,,,,,,,,,11.0,10.0,18.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,MIO_TKM,HIRE,AFR_N,DK,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,MIO_TKM,HIRE,AFR_N,EL,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0
13,MIO_TKM,HIRE,AFR_N,ES,,,,,,,,,,,,,,,,,,,,,,99.0,46.0,19.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
14,MIO_TKM,HIRE,AFR_N,EU15,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,166.0,,,,,,,,,,
15,MIO_TKM,HIRE,AFR_N,FR,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,38.0,185.0,98.0,221.0,133.0,109.0,64.0,73.0,21.0,32.0,24.0,39.0,83.0,19.0,0.0
16,MIO_TKM,HIRE,AFR_N,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,12.0,2.0
17,MIO_TKM,HIRE,AFR_N,IT,,,,,,,,,,,,,,,,,,,,,,,15.0,3.0,3.0,23.0,22.0,23.0,6.0,12.0,44.0,,,,,,,
18,MIO_TKM,HIRE,AFR_N,NL,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,8.0,,,,,,
19,MIO_TKM,HIRE,AFR_N,PT,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,7.0,,,1.0,,,,,,,,
